"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17"
"CDC_Asterix_AGL",47,48.7,53.7,54.7,49,31,45.7,35
"CDC_Rosie_AGL",52.3,51,57.3,59,45,NA,44,NA
"X3156.11_AGL",54.3,52.7,59,60.7,46,NA,45.7,NA
"CDC_Greenstar_AGL",50.7,50.7,56,56.7,48,NA,48.3,NA
"CDC_Cherie_AGL",49,47.7,51,54.3,49,33.5,51.3,34.5
"CDC_Glamis_AGL",52,50,56,59,44.7,NA,47,32
"CDC_Gold_AGL",49.5,51,54,54,48.5,NA,48,NA
"CDC_Imax_AGL",46.7,46.3,53,53,51.7,NA,44.3,38
"CDC_Impower_AGL",48.3,48.7,54.3,57,52.3,33,47.7,NA
"CDC_KR.1_AGL",50.3,49.7,55.7,57,47.7,NA,48.7,30
"CDC_LeMay_AGL",49.7,48.7,53.7,55.7,46.7,NA,47.3,33.7
"CDC_Maxim_AGL",48.7,47,50.7,54.3,47.7,35,49.3,36
"CDC_QG.1_AGL",50.7,51.7,56,57.7,48,NA,47,NA
"CDC_Red_Rider_AGL",51.7,49,56,57,47,31,46,32.5
"CDC_Redcoat_AGL",51,50,56,57.7,47,NA,47.3,32
"CDC_Redwing_AGL",49.7,48.3,53.7,57.3,46.3,33,43,30
"CDC_Robin_AGL",46.7,47,53,52,51.3,35,46.3,38
"CDC_Rosebud_AGL",50,47.3,54,54.7,48,35,45,34
"CDC_Rosetown_AGL",52.7,51,57.7,57.7,44.7,NA,42.7,34
"CDC_Rouleau_AGL",50.7,48.7,55,55.3,47.3,NA,43.7,34
"CDC_Royale_AGL",49,48.7,54,56.3,48,NA,46,35
"CDC_Ruby_AGL",49.7,46,51,52.7,48.3,36,49.7,37
"CDC_SB.1_AGL",44,42.7,47,47.3,52,37.3,48,40
"CDC_Sedley_AGL",50,49.3,54.3,54.7,48.7,NA,48,NA
"CDC_Vantage_AGL",47.7,47.7,51.7,53.7,49,34,48,39
"CN_105604_AGL",44,44.3,47.7,45.7,45.7,31.3,47,37.3
"CN_105605_AGL",43.3,40.7,45.3,44,51,35,49.3,39.5
"CN_105715_AGL",43,38.3,43.7,44,46,36.3,50,41
"CN_105732_AGL",48.3,47.3,51,52.3,50.3,32,48.3,35
"CN_105767_AGL",43,39,45.7,44.3,49.7,36.7,48,38.7
"CN_105777_AGL",43.3,38.7,44.3,42.3,48.3,38.3,48,40
"CN_105789_AGL",44.3,38.7,43.7,44,45,33.7,46,35.3
"CN_105791_AGL",44.3,38.7,44.7,45,50.3,41,50,36
"CN_105862_AGL",50,48.3,53,53,46,NA,43.3,34
"CN_105863_AGL",49.7,46.3,51,52,47,NA,45.7,37.5
"CN_105864_AGL",49,46.7,54.7,53,48.3,35,42,38
"CN_105865_AGL",48,47,51,52.7,46,35,45.3,35
"CN_105895_AGL",44.3,42.7,47,46,44.7,30.3,46.3,34
"CN_106265_AGL",49.7,48.7,55.3,57,50.3,NA,45.7,32.5
"CN_108369_AGL",50.7,49,53.7,54.5,47.3,NA,48,37
"CN_108370_AGL",52,50.7,56,58,48,NA,48,32
"Crimson_AGL",49,47,51.7,55.3,47,31.5,45.3,33
"DPL_62_AGL",45,41,45,42.7,48,35.7,48.7,41
"Eston_AGL",44.7,45,49.7,49,50.3,35,49.7,40.3
