"Entry","Name","Source","CollDate","Lat","Lon","Origin","Region","DTF_Cluster","CotyledonColor","Size","SeedMass1000.2016","SeedMass1000.2017","DTE_Ro16","DTE_Ro17","DTE_Su16","DTE_Su17","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","DTM_Ro16","DTM_Ro17","DTM_Su16","DTM_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17","Pc_Ro16","Pc_Ro17","Pc_Su16","Pc_Su17","Tb_Ro16","Tb_Ro17","Tb_Su16","Tb_Su17"
1,"CDC Asterix AGL","USASK",2012,52.137,-106.622,"Canada","Americas",7,"Yellow","M",25.5,23,8,9,13,12,47,48.7,53.7,54.7,96,80,99.3,89.7,49,31,45.7,35,6.3,6,6.4,7,-42.6,-44,-40.8,-42
2,"CDC Rosie AGL","USASK",2012,52.137,-106.622,"Canada","Americas",8,"Red","M",26.1,25.9,8.7,9.3,14.3,12.3,52.3,51,57.3,59,97.3,NA,101.3,NA,45,NA,44,NA,5.1,5,5.2,5,-36.1,-37,-34.6,-36
3,"3156-11 AGL","USASK",NA,52.137,-106.622,"Canada","Americas",8,"Red","M",31.6,33.4,8.3,9.3,13,14,54.3,52.7,59,60.7,100.3,NA,104.7,NA,46,NA,45.7,NA,4.9,5,5,5,-33.2,-34,-31.9,-33
4,"CDC Greenstar AGL","USASK",2013,52.137,-106.622,"Canada","Americas",7,"Yellow","XL",54.6,64.3,8.3,8.3,11.7,13.3,50.7,50.7,56,56.7,98.7,NA,104.3,NA,48,NA,48.3,NA,4.7,5,4.9,5,-27.9,-29,-26.7,-27
5,"CDC Cherie AGL","USASK",2012,52.137,-106.622,"Canada","Americas",7,"Red","M",39,34.9,8,9.7,14.3,13,49,47.7,51,54.3,98,81,102.3,88.5,49,33.5,51.3,34.5,5.6,6,5.7,6,-34.2,-35,-32.7,-34
6,"CDC Glamis AGL","USASK",1998,52.137,-106.622,"Canada","Americas",8,"Yellow","XL",54.7,53.9,8,8.3,11.7,10.3,52,50,56,59,96.7,NA,103,92,44.7,NA,47,32,5.2,5,5.3,6,-32.7,-34,-31.3,-32
7,"CDC Gold AGL","USASK",1993,52.137,-106.622,"Canada","Americas",7,"Yellow","XL",54.9,53.7,9,10,17,12.3,49.5,51,54,54,98,NA,102,NA,48.5,NA,48,NA,5.8,6,5.9,6,-30.8,-32,-29.4,-30
8,"CDC Imax AGL","USASK",2009,52.137,-106.622,"Canada","Americas",7,"Red","L",36.1,38.8,8.3,9.3,13.7,12.3,46.7,46.3,53,53,98.3,NA,97.3,90,51.7,NA,44.3,38,6.7,7,6.7,7,-57.3,-59,-55,-57
9,"CDC Impower AGL","USASK",2009,52.137,-106.622,"Canada","Americas",7,"Yellow","XL",47.8,59.4,8,8.7,11.7,12.7,48.3,48.7,54.3,57,100.7,82,102,NA,52.3,33,47.7,NA,5.7,6,5.8,6,-34.7,-36,-33.2,-34
10,"CDC KR-1 AGL","USASK",2009,52.137,-106.622,"Canada","Americas",3,"Red","L",42.5,35.9,8,9.3,12.3,13.7,50.3,49.7,55.7,57,98,NA,104.3,86.5,47.7,NA,48.7,30,3.3,3,3.5,4,-15.5,-16,-14.7,-15
11,"CDC LeMay AGL","USASK",2002,52.137,-106.622,"Canada","Americas",7,"Yellow","M",33.1,32,9,9,14.3,12.7,49.7,48.7,53.7,55.7,96.3,NA,101,89.3,46.7,NA,47.3,33.7,5.8,6,5.9,6,-38.5,-40,-36.9,-38
12,"CDC Maxim AGL","USASK",2007,52.137,-106.622,"Canada","Americas",3,"Red","M",41.6,41,8.3,8.7,13.7,12.7,48.7,47,50.7,54.3,96.3,82,100,90,47.7,35,49.3,36,5.8,6,5.9,6,-37.8,-39,-36.2,-37
13,"CDC QG-1 AGL","USASK",2012,52.137,-106.622,"Canada","Americas",8,"Green","L",39,44.7,8.3,9.7,12.3,13,50.7,51.7,56,57.7,98.7,NA,103,NA,48,NA,47,NA,5.5,5,5.7,6,-29.7,-31,-28.4,-29
14,"CDC Red Rider AGL","USASK",2007,52.137,-106.622,"Canada","Americas",8,"Red","M",36.5,36.4,8,9,13.7,13,51.7,49,56,57,98.7,80,101,90,47,31,46,32.5,5.4,5,5.5,6,-32.9,-34,-31.5,-32
15,"CDC Redcoat AGL","USASK",2009,52.137,-106.622,"Canada","Americas",7,"Red","M",35.6,32.9,8,9.7,12.3,12.3,51,50,56,57.7,98,NA,103.3,90,47,NA,47.3,32,5.9,6,6,6,-51.5,-53,-49.5,-51
16,"CDC Redwing AGL","USASK",1994,52.137,-106.622,"Canada","Americas",7,"Red","M",30.9,28.7,9.3,9.3,15,14,49.7,48.3,53.7,57.3,96,82,96.7,90,46.3,33,43,30,6.2,6,6.2,6,-52.7,-54,-50.6,-52
17,"CDC Robin AGL","USASK",2002,52.137,-106.622,"Canada","Americas",7,"Red","S",25.2,24.1,8,8.7,13,11.7,46.7,47,53,52,98,82,99.3,89,51.3,35,46.3,38,6.1,6,6.2,6,-34.6,-36,-33.1,-34
18,"CDC Rosebud AGL","USASK",2009,52.137,-106.622,"Canada","Americas",3,"Red","M",25.3,23.2,8.3,10,13.7,12.3,50,47.3,54,54.7,98,82,99,87,48,35,45,34,4,4,4.2,5,-16.4,-17,-15.6,-16
19,"CDC Rosetown AGL","USASK",2005,52.137,-106.622,"Canada","Americas",8,"Red","M",32.5,25.1,8.7,8.7,13.7,12.3,52.7,51,57.7,57.7,97.3,NA,100.3,90,44.7,NA,42.7,34,5.3,5,5.4,6,-38.4,-39,-36.9,-38
20,"CDC Rouleau AGL","USASK",2004,52.137,-106.622,"Canada","Americas",7,"Red","M",33.2,32.6,8,8.7,15,13,50.7,48.7,55,55.3,98,NA,98.7,90,47.3,NA,43.7,34,5.9,6,6,6,-41.5,-43,-39.7,-41
21,"CDC Royale AGL","USASK",1995,52.137,-106.622,"Canada","Americas",7,"Green","L",34.7,35,8.3,9,13.7,14,49,48.7,54,56.3,96.7,NA,100,92,48,NA,46,35,5.2,5,5.3,6,-29,-30,-27.7,-29
22,"CDC Ruby AGL","USASK",2010,52.137,-106.622,"Canada","Americas",3,"Red","M",27.8,25.4,8.7,9.3,13,13.3,49.7,46,51,52.7,98,82,100.7,90,48.3,36,49.7,37,3.6,4,3.8,4,-15.9,-16,-15.1,-16
23,"CDC SB-1 AGL","USASK",2010,52.137,-106.622,"Canada","Americas",4,"Yellow","S",30.5,31,8.3,9.7,12.3,13,44,42.7,47,47.3,96,80,95,87,52,37.3,48,40,6.3,6,6.4,7,-28.3,-29,-27,-28
24,"CDC Sedley AGL","USASK",2001,52.137,-106.622,"Canada","Americas",3,"Yellow","XL",55.1,66.5,8,8,11,11,50,49.3,54.3,54.7,98.7,NA,102.3,NA,48.7,NA,48,NA,5,5,5.2,5,-28.8,-30,-27.6,-28
25,"CDC Vantage AGL","USASK",1998,52.137,-106.622,"Canada","Americas",3,"Yellow","L",40.9,39.9,9,8.7,13,11.3,47.7,47.7,51.7,53.7,96.7,82,99.7,91,49,34,48,39,4.8,5,4.9,5,-21.9,-23,-20.8,-22
26,"CN 105604 AGL","PGRC",1927,NA,NA,"Ethiopia","Africa",2,"Red","S",24.2,20.2,8.7,10,17.7,14.3,44,44.3,47.7,45.7,89.7,75.7,94.7,83,45.7,31.3,47,37.3,5.5,5,5.6,6,-35.5,-36,-34,-35
27,"CN 105605 AGL","PGRC",1927,NA,NA,"Eritrea","Africa",4,"Red/Yellow","M",26.8,26.3,9.3,9,16.3,13.7,43.3,40.7,45.3,44,94.3,75.7,94.7,84.5,51,35,49.3,39.5,6.2,6,6.3,7,-24.3,-25,-23.1,-24
28,"CN 105715 AGL","PGRC",NA,NA,NA,"Ethiopia","Africa",4,"Red/Yellow","L",46,40,8.3,9,13.7,13.7,43,38.3,43.7,44,89,74.7,93.7,85,46,36.3,50,41,6.7,7,6.8,7,-33.2,-34,-31.6,-33
29,"CN 105732 AGL","PGRC",NA,NA,NA,"Ethiopia","Africa",3,"Yellow","M",36.2,42.8,8.3,9,14.3,13,48.3,47.3,51,52.3,98.7,79.5,99.3,87,50.3,32,48.3,35,5.1,5,5.2,6,-20.1,-21,-19.1,-20
30,"CN 105767 AGL","PGRC",NA,NA,NA,"Libya","Africa",2,"Red/Yellow","M",26.9,26.1,9,9.3,16.3,12.3,43,39,45.7,44.3,92.7,75.7,93.7,83,49.7,36.7,48,38.7,5.8,6,5.9,6,-23.3,-24,-22.2,-23
31,"CN 105777 AGL","PGRC",NA,NA,NA,"Egypt","Africa",1,"Red","S",25.7,25.3,8.3,9.3,14.3,12,43.3,38.7,44.3,42.3,91.7,77,92.3,82.3,48.3,38.3,48,40,4.6,5,4.8,5,-21.3,-22,-20.3,-21
32,"CN 105789 AGL","PGRC",NA,NA,NA,"Ethiopia","Africa",2,"Red","M",29.9,29.8,8.7,9.7,14.3,13.7,44.3,38.7,43.7,44,89.3,72.3,89.7,79.3,45,33.7,46,35.3,5.5,5,5.6,6,-38.1,-39,-36.6,-38
33,"CN 105791 AGL","PGRC",NA,NA,NA,"Egypt","Africa",1,"Red","M",29.1,23.1,9.7,9.3,17,12.7,44.3,38.7,44.7,45,94.7,79.7,94.7,81,50.3,41,50,36,2.2,2,2.4,3,-11.5,-12,-10.9,-11
34,"CN 105862 AGL","PGRC",NA,NA,NA,"Tunisia","Africa",7,"Yellow","XL",38.8,41.6,8,9.3,12.3,13.3,50,48.3,53,53,96,NA,96.3,87,46,NA,43.3,34,6.5,6,6.6,7,-47.7,-49,-45.7,-47
35,"CN 105863 AGL","PGRC",NA,NA,NA,"Tunisia","Africa",7,"Yellow","XL",66.6,64.1,9,9.3,13,13,49.7,46.3,51,52,96.7,NA,96.7,90,47,NA,45.7,37.5,6.8,7,6.8,7,-65.8,-68,-63.2,-65
36,"CN 105864 AGL","PGRC",NA,NA,NA,"Tunisia","Africa",7,"Yellow","M",35.8,31.3,8.3,10,14.3,12.3,49,46.7,54.7,53,97.3,82,96.7,90,48.3,35,42,38,6.4,6,6.5,7,-71.8,-74,-69,-71
37,"CN 105865 AGL","PGRC",NA,NA,NA,"Tunisia","Africa",7,"Yellow","L",70.8,54.7,8.3,8.7,12.3,12.7,48,47,51,52.7,94,82,96.3,88,46,35,45.3,35,6.7,7,6.7,7,-57.2,-59,-54.8,-56
38,"CN 105895 AGL","PGRC",2000,NA,NA,"Egypt","Africa",2,"Red","S",32.2,34.1,8.7,9,14.3,11.3,44.3,42.7,47,46,89,73,93.3,80.5,44.7,30.3,46.3,34,4.6,5,4.8,5,-28.7,-30,-27.5,-28
