Name,Plot,Entry,Rep,Location,Planting Date (date),Protein (1st; %),Histidine (1st; %),Serine (1st; %),Arginine (1st; %),Glycine (1st; %),Aspartic acid (1st; %),Glutamic acid (1st; %),Threonine (1st; %),Alanine (1st; %),Proline (1st; %),Cysteine (1st; %),Lysine (1st; %),Tyrosine (1st; %),Methionine (1st; %),Valine (1st; %),Isoleucine (1st; %),Leucine (1st; %),Phenylalanine (1st; %),Tryptophan (1st; %),Sample Name (1st; text)
CDC Asterix AGL,NA,1,1,"Rosthern, Canada",2017,27.41141,0.8390037,1.328827,1.957027,1.062906,3.03454,4.27177,1.071529,1.078733,1.136566,0.2508271,1.782495,0.8061984,0.2509427,1.340878,1.174901,1.94884,1.354691,0.2159134,ros 1 sst who
CDC Asterix AGL,NA,1,1,"Sutherland, Canada",2017,27.71493,0.879967,1.360961,2.003498,1.076253,3.064467,4.309143,1.048735,1.08351,1.145267,0.2587036,1.774548,0.8026129,0.2429536,1.363111,1.195043,1.978162,1.381357,0.2167616,sut 1 sst who
CDC Asterix AGL,NA,1,1,"Rosthern, Canada",2016,29.89966,0.9098247,1.43167,2.04548,1.156099,3.390554,4.684016,1.051039,1.215247,1.237334,0.2526125,1.946427,0.831789,0.2793403,1.400189,1.241029,2.125511,1.431546,0.2230552,16 ros 001
CDC Asterix AGL,NA,1,1,"Sutherland, Canada",2016,28.6052,0.8403684,1.396036,1.928847,1.103829,3.258381,4.529692,1.014732,1.11237,1.1562,0.2523594,1.893282,0.8157467,0.2621036,1.346796,1.204048,2.03918,1.380997,0.2119168,16 sut 001
CDC Rosie AGL,NA,2,1,"Rosthern, Canada",2017,29.54323,0.8015325,1.460544,2.281186,1.148363,3.382008,4.685127,1.211484,1.176293,1.188137,0.2903677,1.903641,0.8916442,0.2567224,1.462194,1.263788,2.127068,1.489071,0.2342092,ros 2 sst who
CDC Rosie AGL,NA,2,1,"Sutherland, Canada",2017,28.61224,0.7496583,1.410118,2.173579,1.115613,3.230254,4.49334,1.153263,1.122901,1.182183,0.2843106,1.8162,0.8397278,0.2445591,1.405927,1.224832,2.07133,1.448039,0.2266484,sut 2 sst who
CDC Rosie AGL,NA,2,1,"Rosthern, Canada",2016,29.27792,0.770489,1.451303,2.025815,1.15489,3.391816,4.697875,1.057255,1.180443,1.209675,0.2635619,1.962961,0.833351,0.2740397,1.421303,1.245068,2.151994,1.454311,0.2212555,16 ros 002
CDC Rosie AGL,NA,2,1,"Sutherland, Canada",2016,31.30323,0.9453551,1.531409,2.232701,1.207756,3.603797,4.996131,1.109716,1.238377,1.237957,0.275531,2.041035,0.8897411,0.2686248,1.489424,1.315901,2.238958,1.513053,0.232506,16 sut 002
3156-11 AGL,NA,3,1,"Rosthern, Canada",2017,27.26475,0.7939361,1.307999,2.008237,1.074854,3.034451,4.234198,1.1027,1.119545,1.149248,0.2620239,1.738594,0.8415967,0.2582,1.318432,1.146605,1.936188,1.340307,0.2177394,ros 3 sst who
3156-11 AGL,NA,3,1,"Sutherland, Canada",2017,27.24093,0.8476465,1.280211,1.963411,1.061485,2.967452,4.152975,1.072932,1.100438,1.150565,0.2591099,1.703023,0.8099629,0.2506913,1.302378,1.130742,1.917156,1.321423,0.2175069,sut 3 sst who
3156-11 AGL,NA,3,1,"Rosthern, Canada",2016,29.14351,0.8896175,1.399733,1.960124,1.153866,3.310755,4.628204,1.043926,1.170521,1.210446,0.2445685,1.931364,0.8259578,0.277661,1.386194,1.212467,2.11258,1.408849,0.2218391,16 ros 003
3156-11 AGL,NA,3,1,"Sutherland, Canada",2016,29.42614,0.9557583,1.393642,1.996774,1.131029,3.327064,4.609587,1.026432,1.147713,1.183646,0.2561481,1.899425,0.8340887,0.2595756,1.367091,1.213634,2.067974,1.387495,0.2209152,16 sut 003
CDC Greenstar AGL,NA,4,1,"Rosthern, Canada",2017,26.67634,0.7142224,1.340322,1.971387,1.096228,2.962605,4.190592,1.131446,1.112187,1.140281,0.272399,1.761064,0.8319325,0.2491131,1.34138,1.174313,1.942528,1.365038,0.2233934,ros 4 sst who
CDC Greenstar AGL,NA,4,1,"Sutherland, Canada",2017,27.17546,0.7159963,1.341229,1.968794,1.096358,3.025335,4.26989,1.0551,1.108186,1.163797,0.2641262,1.782441,0.8203995,0.2543712,1.350149,1.181653,1.965544,1.368749,0.2200813,sut 4 sst who
CDC Greenstar AGL,NA,4,1,"Rosthern, Canada",2016,29.47124,0.8192866,1.448074,2.02918,1.190828,3.34755,4.737802,1.079231,1.190861,1.225172,0.2590613,1.966957,0.8664122,0.2815545,1.414728,1.254237,2.155196,1.454041,0.2256638,16 ros 004
CDC Greenstar AGL,NA,4,1,"Sutherland, Canada",2016,27.95282,0.8511178,1.336644,1.855518,1.103041,3.132818,4.369177,1.014219,1.092922,1.149407,0.2577307,1.812547,0.8086462,0.2525682,1.293722,1.168186,1.978195,1.331808,0.2158112,16 sut 004
CDC Cherie AGL,NA,5,1,"Rosthern, Canada",2017,27.98715,0.7882895,1.340609,2.078815,1.106435,3.177977,4.380801,1.168279,1.118747,1.154914,0.2752726,1.773819,0.8265123,0.2519345,1.354164,1.183634,1.995552,1.38075,0.2261984,ros 5 sst who
CDC Cherie AGL,NA,5,1,"Sutherland, Canada",2017,27.74391,0.7180535,1.338212,2.044433,1.083734,3.1425,4.317713,1.116879,1.1027,1.148279,0.2727979,1.772161,0.8073043,0.2480102,1.347317,1.169837,1.984551,1.368479,0.2227864,sut 5 sst who
CDC Cherie AGL,NA,5,1,"Rosthern, Canada",2016,29.36302,0.8607842,1.402175,1.991178,1.132847,3.340863,4.613619,1.012522,1.170239,1.219457,0.253344,1.911059,0.8140497,0.2688468,1.377561,1.216031,2.09948,1.405309,0.2197617,16 ros 005
CDC Cherie AGL,NA,5,1,"Sutherland, Canada",2016,29.4213,1.036356,1.370835,1.979395,1.10418,3.227132,4.499217,0.9995091,1.138144,1.173681,0.2498944,1.846657,0.8053046,0.2477991,1.338733,1.187333,2.028755,1.362227,0.222132,16 sut 005
CDC Glamis AGL,NA,6,1,"Rosthern, Canada",2017,27.71144,0.7609958,1.40537,2.101909,1.128836,3.119051,4.423353,1.121041,1.141392,1.170982,0.2790607,1.822967,0.8659954,0.2517747,1.402712,1.228007,2.025785,1.426195,0.2258972,ros 6 sst who
CDC Glamis AGL,NA,6,1,"Sutherland, Canada",2017,26.1607,0.7474457,1.300156,1.901379,1.054616,2.836486,4.058959,1.026477,1.061981,1.123697,0.2639011,1.709188,0.8053643,0.2354257,1.302025,1.14378,1.881787,1.32766,0.21259,sut 6 sst who
CDC Glamis AGL,NA,6,1,"Rosthern, Canada",2016,28.8665,0.8337709,1.424919,1.976436,1.157989,3.268544,4.578091,1.04585,1.1706,1.189836,0.2643611,1.92156,0.8520275,0.2743606,1.384372,1.227602,2.087168,1.420139,0.2196059,16 ros 006
CDC Glamis AGL,NA,6,1,"Sutherland, Canada",2016,31.03044,1.044625,1.500866,2.165099,1.178717,3.43375,4.823459,1.030143,1.235555,1.2506,0.2618003,1.985421,0.884582,0.252047,1.459453,1.290138,2.184559,1.478183,0.2344545,16 sut 006
CDC Gold AGL,NA,7,1,"Rosthern, Canada",2016,30.32647,0.9324229,1.449341,2.037786,1.115467,3.385948,4.599499,0.9944572,1.262082,1.237579,0.2750916,1.924885,0.8511596,0.2569128,1.408683,1.271896,2.135784,1.455416,0.2275565,16 ros 007
CDC Gold AGL,NA,7,1,"Sutherland, Canada",2016,28.7928,0.9547773,1.365538,1.880619,1.115022,3.248466,4.405537,0.9685392,1.198042,1.184173,0.2676345,1.833369,0.8298248,0.2545524,1.3264,1.197433,2.019352,1.364998,0.2259254,16 sut 007
CDC Imax AGL,NA,8,1,"Rosthern, Canada",2017,28.51782,0.6363658,1.418274,2.2088,1.138475,3.320698,4.625206,1.162923,1.168204,1.222689,0.2939512,1.846005,0.8652385,0.2619229,1.41761,1.244079,2.095724,1.461794,0.2309244,ros 8 sst who
CDC Imax AGL,NA,8,1,"Sutherland, Canada",2017,29.78868,0.7241914,1.461161,2.282349,1.172449,3.439749,4.764497,1.192587,1.218119,1.243204,0.2889445,1.927171,0.8911862,0.2693835,1.461992,1.269338,2.154222,1.488467,0.2349474,sut 8 sst who
