Name,Plot,Entry,Rep,Location,"Planting Date (date)","Protein (%)","Histidine (1st; %)","Serine (1st; %)","Arginine (1st; %)","Glycine (1st; %)","Aspartic acid (1st; %)","Glutamic acid (1st; %)","Threonine (1st; %)","Alanine (1st; %)","Proline (1st; %)","Cysteine (1st; %)","Lysine (1st; %)","Tyrosine (1st; %)","Methionine (1st; %)","Valine (1st; %)","Isoleucine (1st; %)","Leucine (1st; %)","Phenylalanine (1st; %)","Tryptophan (1st; %)","Sample Name (1st; text)"
"CDC Asterix AGL",NA,1,1,"Rosthern, Canada",2017,25.691585506847,0.64131586111858,0.95953970699174,1.9362308498999,1.0796622731271,2.3922079118616,3.8595421907068,1.0181902382049,1.0146197378036,1.0937907885629,0.25338842490239,1.7816555236532,0.79061735852506,0.2613799386293,1.4191115117388,1.2432304535481,1.9113539222535,1.325795259808,0.2139566315168,"ros 1 sst who"
"ILL 6853 AGL",NA,102,1,"Rosthern, Canada",2017,28.16630636175,0.96599117386537,1.4450735255738,2.2523633068773,1.1621787498345,3.2515106808298,4.6765767884974,1.2431736757588,1.1381495924103,1.3298746094448,0.29198535854053,1.8382451692252,0.88488808778529,0.28193094113871,1.4330069340823,1.2831398397503,2.103408247751,1.4968740664227,0.23396349103614,"ros 102 sst who"
"ILL 7089 AGL",NA,103,1,"Rosthern, Canada",2017,28.527847989651,0.94219402819454,1.3564992155465,2.0675107773506,1.1151535512433,3.3480523236294,4.5050010623035,1.2218191019792,1.13547348606,1.16127509028,0.24431456885387,1.8165855943813,0.85558800841921,0.26359529009277,1.4009585353551,1.2808100583474,2.0374533729672,1.453068261751,0.23048896888109,"ros 103 sst who"
"ILL 7978 AGL",NA,110,1,"Rosthern, Canada",2017,27.173961773909,0.82965368903643,1.4400659451729,2.18633022367,1.1556406186548,3.3632859905236,4.6331300724628,1.2556387130522,1.1990835074207,1.192117820666,0.23127307134472,1.9504221458502,0.86934953369142,0.22914039317647,1.4829762034303,1.248292197354,2.1423428319808,1.482650295694,0.24228747159827,"ros 110 sst who"
"ILL 8010 AGL",NA,114,1,"Rosthern, Canada",2017,30.516694149448,0.98463019924178,1.4179888146876,2.4655201096653,1.1752211951485,3.5589814069372,4.7105066257778,1.2478633180295,1.1747006108447,1.2344618546564,0.26350205762168,1.9098365210795,0.89454156299182,0.26817381401615,1.4522959160194,1.2747227523586,2.117115468516,1.4920374512859,0.23918663586689,"ros 114 sst who"
"ILL 9945 AGL",NA,122,1,"Rosthern, Canada",2017,30.362805868177,1.163150492087,1.5074328253447,2.4901934556508,1.1771238607889,3.4585423856872,4.9710688841355,1.2390757699731,1.1855521102135,1.2598660334363,0.26401622256535,1.9752600539423,0.909011871126,0.27289924045249,1.4963369697182,1.3064386530431,2.2551745915009,1.5825965360139,0.24275465464205,"ros 122 sst who"
"ILL 9997 AGL",NA,124,1,"Rosthern, Canada",2017,26.287682829821,1.0007469798579,1.3484174161964,2.2465845685849,1.094394008819,3.2341316888884,4.5339406602343,1.1528324966551,1.1172072425654,1.1383874465225,0.27675453372423,1.7985340593635,0.84632497227022,0.26339071741829,1.3579146529282,1.1836828486793,2.0212004222569,1.3867146629181,0.22698481455495,"ros 124 sst who"
"CDC QG-1 AGL",NA,13,1,"Rosthern, Canada",2017,28.373719127622,0.88896646384433,1.4687746380911,2.3149733969548,1.1499317204899,3.366727750907,4.7110678024596,1.2354861152879,1.1697966227553,1.2018359367736,0.27593189333525,1.8957025811522,0.91911564323745,0.28237969696227,1.4673408104944,1.2867476430097,2.1383122444168,1.4871147862815,0.23163621839779,"ros 13 sst who"
"PI 178971 LSP AGL",NA,136,1,"Rosthern, Canada",2017,31.285489545461,0.99311771907658,1.4085399743254,2.2786341233589,1.1442275395899,3.3891839649019,4.6040386686689,1.2308013240229,1.1617133332613,1.1632617140944,0.29106198038619,1.8847776855832,0.93991228083527,0.2817567446142,1.4163199101067,1.2342903928395,2.0585624496777,1.4252792757314,0.22948558827332,"ros 136 sst who"
"PI 179330 AGL",NA,138,1,"Rosthern, Canada",2017,28.529778727137,0.89108723376967,1.4299806645578,2.1378172355662,1.1546608303263,3.3654742838684,4.4079291122117,1.2450494341633,1.1421915569326,1.1594274987945,0.30103613166001,1.7779224768685,0.90323577842496,0.29485694552607,1.3894922613346,1.2313758530737,2.0230583299518,1.4091333191551,0.22973314738184,"ros 138 sst who"
"PI 182217 LSP AGL",NA,141,1,"Rosthern, Canada",2017,28.911838681999,0.84767408869693,1.5256583579892,2.2356930676829,1.1677000144379,3.4851498106236,4.7639861332178,1.272231284071,1.2069779903966,1.2153281000093,0.32240769643332,1.9769191616877,0.90960734111621,0.27193593649992,1.4521293789543,1.2588560387265,2.1356319958707,1.4758153435002,0.24414103018117,"ros 141 sst who"
"PI 193546 AGL",NA,142,1,"Rosthern, Canada",2017,28.984806988958,0.78526121075559,1.5209170674603,2.3585150963936,1.1536711821418,3.6276492020772,4.8534997448694,1.2534449978767,1.2080468822965,1.245230840647,0.27972892366757,1.9512254850618,0.94826622622106,0.27903569427065,1.4727755550446,1.2961152977409,2.1920155575001,1.5314351365316,0.23015643318471,"ros 142 sst who"
"PI 211052 LSP AGL",NA,149,1,"Rosthern, Canada",2017,27.945863907558,0.70367487530085,1.4241913149028,2.2679166210406,1.1149092412253,3.5753125873761,4.5873734556233,1.2122206023293,1.1452980864045,1.2011433825652,0.25916395207393,1.8776519417988,0.8219299538568,0.27436502238858,1.4026653119335,1.201004807786,2.1055888660219,1.4510193530998,0.21915682045538,"ros 149 sst who"
"PI 217949 LSP AGL",NA,152,1,"Rosthern, Canada",2017,28.792470680831,0.80786778353556,1.3466179181325,2.1344474404978,1.0499583357747,3.20144604499,4.3979128077734,1.1118750513524,1.0719835853108,1.1027858784092,0.26909801678413,1.7646747899988,0.80371212879589,0.23322528043839,1.3217207258639,1.1477633308111,1.9834250230241,1.3723422576574,0.20803633189865,"ros 152 sst who"
