"Name","Alanine_Ro16","Alanine_Ro17","Alanine_Su16","Alanine_Su17","Arginine_Ro16","Arginine_Ro17","Arginine_Su16","Arginine_Su17","Aspartic.acid_Ro16","Aspartic.acid_Ro17","Aspartic.acid_Su16","Aspartic.acid_Su17","Cysteine_Ro16","Cysteine_Ro17","Cysteine_Su16","Cysteine_Su17","Glutamic.acid_Ro16","Glutamic.acid_Ro17","Glutamic.acid_Su16","Glutamic.acid_Su17","Glycine_Ro16","Glycine_Ro17","Glycine_Su16","Glycine_Su17","Histidine_Ro16","Histidine_Ro17","Histidine_Su16","Histidine_Su17","Isoleucine_Ro16","Isoleucine_Ro17","Isoleucine_Su16","Isoleucine_Su17","Leucine_Ro16","Leucine_Ro17","Leucine_Su16","Leucine_Su17","Lysine_Ro16","Lysine_Ro17","Lysine_Su16","Lysine_Su17","Methionine_Ro16","Methionine_Ro17","Methionine_Su16","Methionine_Su17","Phenylalanine_Ro16","Phenylalanine_Ro17","Phenylalanine_Su16","Phenylalanine_Su17","Proline_Ro16","Proline_Ro17","Proline_Su16","Proline_Su17","Protein_Ro16","Protein_Ro17","Protein_Su16","Protein_Su17","Serine_Ro16","Serine_Ro17","Serine_Su16","Serine_Su17","Threonine_Ro16","Threonine_Ro17","Threonine_Su16","Threonine_Su17","Tryptophan_Ro16","Tryptophan_Ro17","Tryptophan_Su16","Tryptophan_Su17","Tyrosine_Ro16","Tyrosine_Ro17","Tyrosine_Su16","Tyrosine_Su17","Valine_Ro16","Valine_Ro17","Valine_Su16","Valine_Su17"
"X3156.11_AGL",1.1705,1.1195,1.1477,1.1004,1.9601,2.0082,1.9968,1.9634,3.3108,3.0345,3.3271,2.9675,0.2446,0.262,0.2561,0.2591,4.6282,4.2342,4.6096,4.153,1.1539,1.0749,1.131,1.0615,0.8896,0.7939,0.9558,0.8476,1.2125,1.1466,1.2136,1.1307,2.1126,1.9362,2.068,1.9172,1.9314,1.7386,1.8994,1.703,0.2777,0.2582,0.2596,0.2507,1.4088,1.3403,1.3875,1.3214,1.2104,1.1492,1.1836,1.1506,29.1435,27.2647,29.4261,27.2409,1.3997,1.308,1.3936,1.2802,1.0439,1.1027,1.0264,1.0729,0.2218,0.2177,0.2209,0.2175,0.826,0.8416,0.8341,0.81,1.3862,1.3184,1.3671,1.3024
"CDC_Asterix_AGL",1.2152,1.0787,1.1124,1.0835,2.0455,1.957,1.9288,2.0035,3.3906,3.0345,3.2584,3.0645,0.2526,0.2508,0.2524,0.2587,4.684,4.2718,4.5297,4.3091,1.1561,1.0629,1.1038,1.0763,0.9098,0.839,0.8404,0.88,1.241,1.1749,1.204,1.195,2.1255,1.9488,2.0392,1.9782,1.9464,1.7825,1.8933,1.7745,0.2793,0.2509,0.2621,0.243,1.4315,1.3547,1.381,1.3814,1.2373,1.1366,1.1562,1.1453,29.8997,27.4114,28.6052,27.7149,1.4317,1.3288,1.396,1.361,1.051,1.0715,1.0147,1.0487,0.2231,0.2159,0.2119,0.2168,0.8318,0.8062,0.8157,0.8026,1.4002,1.3409,1.3468,1.3631
"CDC_Cherie_AGL",1.1702,1.1187,1.1381,1.1027,1.9912,2.0788,1.9794,2.0444,3.3409,3.178,3.2271,3.1425,0.2533,0.2753,0.2499,0.2728,4.6136,4.3808,4.4992,4.3177,1.1328,1.1064,1.1042,1.0837,0.8608,0.7883,1.0364,0.7181,1.216,1.1836,1.1873,1.1698,2.0995,1.9956,2.0288,1.9846,1.9111,1.7738,1.8467,1.7722,0.2688,0.2519,0.2478,0.248,1.4053,1.3807,1.3622,1.3685,1.2195,1.1549,1.1737,1.1483,29.363,27.9871,29.4213,27.7439,1.4022,1.3406,1.3708,1.3382,1.0125,1.1683,0.9995,1.1169,0.2198,0.2262,0.2221,0.2228,0.814,0.8265,0.8053,0.8073,1.3776,1.3542,1.3387,1.3473
"CDC_Glamis_AGL",1.1706,1.1414,1.2356,1.062,1.9764,2.1019,2.1651,1.9014,3.2685,3.1191,3.4337,2.8365,0.2644,0.2791,0.2618,0.2639,4.5781,4.4234,4.8235,4.059,1.158,1.1288,1.1787,1.0546,0.8338,0.761,1.0446,0.7474,1.2276,1.228,1.2901,1.1438,2.0872,2.0258,2.1846,1.8818,1.9216,1.823,1.9854,1.7092,0.2744,0.2518,0.252,0.2354,1.4201,1.4262,1.4782,1.3277,1.1898,1.171,1.2506,1.1237,28.8665,27.7114,31.0304,26.1607,1.4249,1.4054,1.5009,1.3002,1.0458,1.121,1.0301,1.0265,0.2196,0.2259,0.2345,0.2126,0.852,0.866,0.8846,0.8054,1.3844,1.4027,1.4595,1.302
"CDC_Gold_AGL",1.2621,NA,1.198,NA,2.0378,NA,1.8806,NA,3.3859,NA,3.2485,NA,0.2751,NA,0.2676,NA,4.5995,NA,4.4055,NA,1.1155,NA,1.115,NA,0.9324,NA,0.9548,NA,1.2719,NA,1.1974,NA,2.1358,NA,2.0194,NA,1.9249,NA,1.8334,NA,0.2569,NA,0.2546,NA,1.4554,NA,1.365,NA,1.2376,NA,1.1842,NA,30.3265,NA,28.7928,NA,1.4493,NA,1.3655,NA,0.9945,NA,0.9685,NA,0.2276,NA,0.2259,NA,0.8512,NA,0.8298,NA,1.4087,NA,1.3264,NA
"CDC_Greenstar_AGL",1.1909,1.1122,1.0929,1.1082,2.0292,1.9714,1.8555,1.9688,3.3476,2.9626,3.1328,3.0253,0.2591,0.2724,0.2577,0.2641,4.7378,4.1906,4.3692,4.2699,1.1908,1.0962,1.103,1.0964,0.8193,0.7142,0.8511,0.716,1.2542,1.1743,1.1682,1.1817,2.1552,1.9425,1.9782,1.9655,1.967,1.7611,1.8125,1.7824,0.2816,0.2491,0.2526,0.2544,1.454,1.365,1.3318,1.3687,1.2252,1.1403,1.1494,1.1638,29.4712,26.6763,27.9528,27.1755,1.4481,1.3403,1.3366,1.3412,1.0792,1.1314,1.0142,1.0551,0.2257,0.2234,0.2158,0.2201,0.8664,0.8319,0.8086,0.8204,1.4147,1.3414,1.2937,1.3501
"CDC_Imax_AGL",1.2107,1.1682,1.2082,1.2181,2.0915,2.2088,2.1787,2.2823,3.6128,3.3207,3.6375,3.4397,0.2551,0.294,0.2549,0.2889,4.91,4.6252,4.9833,4.7645,1.2849,1.1385,1.2744,1.1724,0.9407,0.6364,0.9959,0.7242,1.2733,1.2441,1.293,1.2693,2.1974,2.0957,2.2327,2.1542,1.9874,1.846,2.002,1.9272,0.2463,0.2619,0.2382,0.2694,1.4497,1.4618,1.4771,1.4885,1.2119,1.2227,1.2344,1.2432,30.4095,28.5178,31.0886,29.7887,1.4887,1.4183,1.5096,1.4612,1.1504,1.1629,1.1466,1.1926,0.2519,0.2309,0.2527,0.2349,0.8829,0.8652,0.887,0.8912,1.4508,1.4176,1.4686,1.462
"CDC_Impower_AGL",1.1893,1.1551,1.1097,1.2109,2.0602,2.2446,2.0094,2.2149,3.4578,3.3339,3.35,3.2492,0.2478,0.2938,0.2353,0.2788,4.6627,4.597,4.5948,4.5321,1.2249,1.1728,1.2051,1.1693,1.0372,0.8507,1.1538,0.9137,1.2258,1.2554,1.1971,1.2596,2.1241,2.0949,2.092,2.0867,1.875,1.8558,1.8485,1.8523,0.2381,0.2716,0.219,0.2616,1.4036,1.4518,1.3729,1.4524,1.2275,1.2006,1.1932,1.2213,29.943,29.1357,29.8159,28.9963,1.4222,1.452,1.415,1.4425,1.104,1.1841,1.0602,1.1114,0.2443,0.2358,0.2397,0.2319,0.8467,0.9154,0.8324,0.8938,1.3717,1.4356,1.3433,1.4448
"CDC_KR.1_AGL",1.2363,1.0637,1.1295,1.0937,2.0301,1.9338,1.9543,2.0431,3.3729,2.8552,3.1915,2.9893,0.2572,0.265,0.2479,0.2757,4.6358,4.0272,4.4427,4.1707,1.1747,1.0369,1.1055,1.0857,0.9424,0.6726,0.9835,0.7952,1.2249,1.1053,1.1719,1.1409,2.1204,1.8717,2.015,1.9423,1.9294,1.6606,1.8252,1.6906,0.2791,0.2274,0.2421,0.2401,1.4211,1.3066,1.3531,1.3531,1.2415,1.1241,1.1724,1.1662,29.7385,25.9181,28.6007,27.1202,1.4185,1.2615,1.3468,1.308,1.048,1.0729,0.9998,1.0827,0.2269,0.2134,0.2164,0.2205,0.8308,0.7755,0.793,0.8095,1.3872,1.2684,1.3168,1.3132
"CDC_LeMay_AGL",1.1693,1.1483,1.1453,1.1152,2.0832,2.1185,2.1404,2.1249,3.3339,3.1639,3.3129,3.0278,0.2416,0.2561,0.242,0.2631,4.6896,4.5093,4.7058,4.362,1.1497,1.1068,1.1289,1.0902,0.884,0.7425,0.9974,0.8145,1.2293,1.2272,1.2373,1.2096,2.1287,2.0493,2.1031,2.0111,1.9428,1.852,1.9083,1.7755,0.2795,0.2538,0.2515,0.2378,1.4356,1.4257,1.4299,1.4087,1.2152,1.1766,1.2108,1.1687,29.8004,28.3716,29.9874,28.2269,1.4404,1.3935,1.4308,1.3796,1.0298,1.1078,0.9997,1.0981,0.2223,0.2222,0.2176,0.2174,0.841,0.8362,0.8175,0.8316,1.4143,1.4172,1.3972,1.3898
"CDC_Maxim_AGL",1.2316,1.1042,0.9884,1.0974,2.0634,2.0695,1.6885,2.0702,3.4977,3.1324,3.0516,3.1006,0.2582,0.2607,0.2052,0.2708,4.6384,4.3489,4.2433,4.262,1.2145,1.0775,1.0929,1.088,0.9789,0.7345,0.8648,0.7039,1.2408,1.1652,1.095,1.1483,2.1197,1.9767,1.9143,1.9616,1.8668,1.7632,1.7437,1.7142,0.2278,0.245,0.2196,0.2508,1.4093,1.3712,1.2539,1.3603,1.2503,1.1579,1.0905,1.1663,30.0816,27.5888,26.6515,27.3962,1.4297,1.326,1.2646,1.311,1.0276,1.1381,1.0223,1.1424,0.2449,0.2201,0.211,0.2226,0.8109,0.8138,0.7448,0.8158,1.3764,1.3333,1.2328,1.3197
"CDC_QG.1_AGL",1.2094,1.1606,1.2009,1.1768,2.1693,2.252,2.1655,2.2381,3.4954,3.2933,3.4812,3.2564,0.2583,0.273,0.2657,0.2697,4.9203,4.6386,4.8588,4.6123,1.2172,1.1493,1.1912,1.1525,1.0015,0.9069,1.0133,0.903,1.2926,1.2638,1.2906,1.2593,2.2311,2.1014,2.185,2.0991,2.032,1.8911,1.9994,1.8871,0.2833,0.2594,0.2695,0.2617,1.4984,1.4653,1.4737,1.4668,1.2517,1.1874,1.2225,1.1994,31.0244,29.407,30.9378,29.239,1.507,1.4469,1.4985,1.4423,1.0942,1.1868,1.0924,1.1783,0.2315,0.2298,0.2306,0.2285,0.8894,0.8995,0.8953,0.8984,1.473,1.4455,1.4527,1.4461
"CDC_Red_Rider_AGL",1.2577,1.2747,1.2373,1.173,2.1998,2.3706,2.1964,2.1669,3.6379,3.5071,3.6253,3.3101,0.2683,0.2917,0.2819,0.2834,4.9663,4.8232,4.9095,4.5406,1.2274,1.1907,1.1832,1.1216,0.9474,0.77,0.8917,0.695,1.284,1.2881,1.2884,1.2089,2.2278,2.1753,2.1926,2.0544,2.0306,1.9515,2.0047,1.8384,0.282,0.2738,0.2733,0.2657,1.4972,1.5171,1.4799,1.4248,1.2748,1.2522,1.2358,1.1919,30.9448,29.8111,30.7814,28.2467,1.4976,1.483,1.4888,1.3731,1.1084,1.225,1.098,1.1617,0.2403,0.2396,0.2334,0.2271,0.8852,0.9247,0.8844,0.8633,1.4672,1.4846,1.4529,1.3894
"CDC_Redcoat_AGL",1.3458,1.1634,1.1882,1.0992,2.0188,2.2371,2.1445,1.9887,3.481,3.337,3.432,2.9641,0.2882,0.279,0.2587,0.2588,4.6559,4.618,4.7911,4.1892,1.2033,1.1318,1.1685,1.0438,0.7574,0.8143,1.0839,0.7792,1.3012,1.2228,1.2548,1.1322,2.1659,2.0893,2.156,1.9201,1.9951,1.8536,1.9553,1.7376,0.2549,0.2563,0.2521,0.2348,1.4835,1.4423,1.448,1.3376,1.2402,1.2026,1.2273,1.131,29.279,28.8856,30.6899,26.8852,1.4929,1.4041,1.4551,1.2972,1.0376,1.1653,1.0212,1.0493,0.2386,0.2279,0.2268,0.2134,0.8347,0.8669,0.8528,0.8022,1.4617,1.402,1.4153,1.3065
"CDC_Redwing_AGL",1.2738,1.1453,1.1893,1.1773,2.1567,2.2552,2.1851,2.3194,3.5467,3.3569,3.5444,3.4374,0.2649,0.2751,0.2664,0.2738,4.9262,4.7244,4.9458,4.8221,1.1826,1.1417,1.1828,1.1575,0.8332,0.8446,0.9999,0.8552,1.3082,1.285,1.303,1.3076,2.2228,2.119,2.2007,2.1715,2.042,1.9244,1.9966,1.9502,0.2827,0.2481,0.2616,0.2586,1.5062,1.4882,1.486,1.5203,1.2633,1.1782,1.2183,1.2128,30.5975,29.334,30.9672,29.8193,1.5166,1.4836,1.521,1.4958,1.0717,1.1633,1.0605,1.19,0.222,0.2258,0.2278,0.2283,0.8697,0.8806,0.8682,0.8986,1.4625,1.454,1.4476,1.4825
"CDC_Robin_AGL",1.2387,1.1183,1.1452,1.1644,2.2079,2.171,1.9796,2.2058,3.6129,3.2488,3.2457,3.3136,0.2691,0.2822,0.2557,0.2689,4.9171,4.468,4.5604,4.5741,1.2148,1.1016,1.1315,1.1029,0.9508,0.7506,0.9691,0.7983,1.2782,1.1938,1.1956,1.227,2.2267,2.0326,2.0577,2.0783,2.024,1.8217,1.8934,1.8755,0.2899,0.2521,0.2603,0.2469,1.4991,1.4156,1.3927,1.4463,1.2506,1.1571,1.1683,1.1807,30.8844,28.1634,28.9531,28.7601,1.5046,1.3837,1.4061,1.4087,1.1292,1.1757,0.997,1.1058,0.2319,0.2237,0.219,0.2223,0.8847,0.8587,0.8331,0.8389,1.4632,1.3746,1.3573,1.4171
"CDC_Rosebud_AGL",1.2351,1.1604,1.1681,1.2034,2.1369,2.2544,2.1693,2.2579,3.5627,3.4091,3.535,3.4173,0.2712,0.2863,0.2746,0.2756,4.8415,4.7414,4.8504,4.7186,1.1976,1.1671,1.1716,1.1657,0.9023,0.8444,1.0244,0.8842,1.2771,1.2752,1.2908,1.2727,2.1983,2.1384,2.1762,2.1359,2.0319,1.9339,1.9896,1.9429,0.291,0.2712,0.2641,0.2723,1.4859,1.4952,1.4816,1.4906,1.2338,1.2014,1.222,1.2158,30.6309,29.3838,30.8643,29.6513,1.4989,1.4705,1.5025,1.4534,1.1326,1.1996,1.0655,1.211,0.2314,0.232,0.2295,0.232,0.8882,0.9027,0.8908,0.9009,1.452,1.4604,1.452,1.4571
"CDC_Rosetown_AGL",1.2082,1.1614,1.1442,1.1353,1.9562,2.2249,1.989,2.0778,3.3091,3.2526,3.2418,3.1478,0.248,0.2757,0.2492,0.2652,4.6036,4.5513,4.5437,4.4024,1.1683,1.1221,1.1133,1.0853,0.8965,0.7814,0.9485,0.7148,1.2154,1.2267,1.2016,1.1978,2.1044,2.0743,2.0623,2.0197,1.9337,1.8484,1.8939,1.8327,0.281,0.2488,0.2473,0.2415,1.412,1.45,1.4005,1.4092,1.2007,1.1852,1.1842,1.1504,29.2956,28.865,29.0426,27.8193,1.4184,1.412,1.4024,1.3821,1.0325,1.1713,1.0073,1.0964,0.2253,0.2265,0.2159,0.2181,0.8305,0.8663,0.8125,0.8244,1.3903,1.4157,1.366,1.383
"CDC_Rosie_AGL",1.1804,1.1763,1.2384,1.1229,2.0258,2.2812,2.2327,2.1736,3.3918,3.382,3.6038,3.2303,0.2636,0.2904,0.2755,0.2843,4.6979,4.6851,4.9961,4.4933,1.1549,1.1484,1.2078,1.1156,0.7705,0.8015,0.9454,0.7497,1.2451,1.2638,1.3159,1.2248,2.152,2.1271,2.239,2.0713,1.963,1.9036,2.041,1.8162,0.274,0.2567,0.2686,0.2446,1.4543,1.4891,1.5131,1.448,1.2097,1.1881,1.238,1.1822,29.2779,29.5432,31.3032,28.6122,1.4513,1.4605,1.5314,1.4101,1.0573,1.2115,1.1097,1.1533,0.2213,0.2342,0.2325,0.2266,0.8334,0.8916,0.8897,0.8397,1.4213,1.4622,1.4894,1.4059
"CDC_Rouleau_AGL",1.1978,1.1541,1.094,1.1107,1.9708,2.111,1.7693,1.9363,3.2971,3.1855,3.0428,2.9225,0.2365,0.2549,0.2298,0.2432,4.6338,4.4586,4.2938,4.1828,1.1492,1.1163,1.0688,1.0594,0.9711,0.8049,0.8584,0.8128,1.2238,1.1858,1.1248,1.1255,2.124,2.0259,1.931,1.919,1.9265,1.7901,1.7754,1.7337,0.2706,0.2603,0.2478,0.2387,1.4172,1.3892,1.2878,1.3223,1.2226,1.1895,1.147,1.1414,29.6445,28.084,27.5091,27.0538,1.4098,1.3411,1.2945,1.2888,1.0582,1.1257,0.959,1.0781,0.2228,0.2252,0.211,0.2146,0.824,0.8474,0.7668,0.7954,1.3918,1.3662,1.2645,1.2951
"CDC_Royale_AGL",1.2995,1.1088,1.141,1.0998,2.0237,2.0617,1.9603,2.0895,3.3913,3.1061,3.22,2.9939,0.2671,0.26,0.2454,0.268,4.6475,4.3555,4.5113,4.2942,1.1869,1.1012,1.1291,1.1029,0.9121,0.8466,0.9887,0.8707,1.2683,1.1909,1.1946,1.1895,2.151,1.9889,2.0405,1.986,1.9688,1.7937,1.8759,1.7598,0.2728,0.2463,0.2513,0.2357,1.456,1.3847,1.3694,1.3892,1.2611,1.1393,1.1749,1.1618,29.7455,27.6684,29.0624,28.0911,1.4396,1.347,1.3885,1.3644,1.0273,1.1317,0.9845,1.0846,0.2271,0.2186,0.2191,0.2207,0.8235,0.8211,0.8152,0.8309,1.4269,1.3626,1.3492,1.3655
"CDC_Ruby_AGL",1.2963,1.2188,1.1892,1.1001,2.26,2.2945,2.103,2.0129,3.7395,3.5419,3.4368,3.0958,0.2787,0.2947,0.2646,0.2749,5.069,4.8609,4.8155,4.3266,1.2532,1.1908,1.1692,1.0772,0.9293,0.6967,0.9401,0.6526,1.3261,1.2965,1.2631,1.1739,2.2875,2.1774,2.1553,1.9776,2.0582,1.9635,1.9619,1.767,0.3012,0.2715,0.2637,0.2471,1.533,1.5125,1.4543,1.3776,1.2896,1.2021,1.2092,1.1244,31.6437,29.7735,30.419,27.2377,1.539,1.4951,1.4704,1.3453,1.1469,1.2698,1.0518,1.1422,0.2416,0.2394,0.2282,0.2215,0.9013,0.9036,0.8505,0.8136,1.5083,1.4889,1.4247,1.3471
"CDC_SB.1_AGL",1.0602,1.0489,1.12,1.0134,1.7227,1.9253,1.9905,1.8394,3.0483,2.9955,3.2981,2.8336,0.2442,0.2582,0.2463,0.2534,4.1636,4.1145,4.4847,3.9087,1.029,1.0132,1.0973,0.9781,0.762,0.7799,1.1276,0.815,1.1095,1.1101,1.1837,1.0686,1.902,1.8771,2.0224,1.7989,1.7481,1.693,1.8452,1.6307,0.2619,0.2444,0.2479,0.2307,1.2795,1.3034,1.358,1.2558,1.1261,1.1129,1.183,1.0747,26.4532,26.1757,29.3963,25.5686,1.2846,1.2677,1.3844,1.2318,0.939,1.0561,0.9616,1.0084,0.1973,0.2051,0.2184,0.2002,0.7593,0.7938,0.8126,0.7632,1.2367,1.2563,1.3383,1.2106
"CDC_Sedley_AGL",1.3131,1.103,1.1033,1.1327,2.0765,2.0772,1.9877,2.1526,3.4624,3.097,3.1811,3.1521,0.2855,0.2648,0.2495,0.2676,4.6809,4.3483,4.4644,4.4242,1.1916,1.0876,1.1003,1.1164,0.8579,0.8479,1.0148,0.9382,1.3051,1.1932,1.1823,1.2025,2.1672,1.9836,2.0139,2.0184,1.957,1.7854,1.8357,1.8022,0.2647,0.2466,0.2475,0.2519,1.4845,1.3873,1.3625,1.4064,1.2554,1.1609,1.1833,1.1935,29.5034,27.5209,28.9572,28.3671,1.4739,1.3586,1.3725,1.3757,1.025,1.0799,0.9844,1.0794,0.23,0.2157,0.2177,0.2252,0.8377,0.848,0.8244,0.8646,1.4526,1.3538,1.3305,1.372
"CDC_Vantage_AGL",1.181,1.1549,1.1914,1.1554,1.9643,2.033,1.9342,2.0347,3.3483,3.1348,3.2952,3.1195,0.2664,0.2745,0.2704,0.2676,4.5951,4.3483,4.535,4.3327,1.1652,1.1209,1.1576,1.1067,0.8533,0.746,0.9178,0.7764,1.2215,1.1868,1.2052,1.1754,2.0986,1.9881,2.0569,1.9749,1.9316,1.8259,1.9051,1.8125,0.2823,0.2674,0.2715,0.271,1.4171,1.3861,1.3822,1.3768,1.2034,1.1649,1.1964,1.1699,28.9538,27.5461,29.1758,27.7262,1.4165,1.3618,1.4047,1.3296,1.0959,1.1644,1.0635,1.1906,0.2219,0.224,0.2261,0.2215,0.8485,0.8682,0.8453,0.8706,1.3801,1.3559,1.3478,1.3389
