"Name","Essential.AA_Ro16","Essential.AA_Ro17","Essential.AA_Su16","Essential.AA_Su17","Perc.Essential.AA_Ro16","Perc.Essential.AA_Ro17","Perc.Essential.AA_Su16","Perc.Essential.AA_Su17"
"X3156.11_AGL",10.4845,9.8526,10.3983,9.7634,35.9754319144921,36.1368362754771,35.3369967477851,35.8409597333421
"CDC_Asterix_AGL",10.6078,9.9791,10.1934,10.0807,35.477947939277,36.4049264174759,35.6347796904059,36.3728535913895
"CDC_Cherie_AGL",10.3714,10.1226,10.2695,9.9482,35.3213227531247,36.1688063429223,34.9049838042507,35.8572515039342
"CDC_Glamis_AGL",10.4145,10.2654,10.959,9.5864,36.0781528761713,37.0439602474072,35.3169794781891,36.6442793961935
"CDC_Gold_AGL",10.6081,NA,10.1454,NA,34.9796382701598,NA,35.2358923064099,NA
"CDC_Greenstar_AGL",10.6509,9.9024,9.9181,9.894,36.1400282309509,37.120590186795,35.481597550156,36.407793784843
"CDC_Imax_AGL",10.9479,10.3573,11.1068,10.7223,36.0015784541015,36.3187202378865,35.7262790862245,35.9945214124819
"CDC_Impower_AGL",10.6238,10.6357,10.5265,10.6144,35.4800788164179,36.5040139759814,35.3049882780664,36.6060497373803
"CDC_KR.1_AGL",10.5794,9.3989,10.1238,9.7786,35.5747599912571,36.2638465010938,35.3970357368876,36.0565187572363
"CDC_LeMay_AGL",10.5663,10.2977,10.542,10.1625,35.4569066187031,36.2958028450986,35.1547650013005,36.0028908594284
"CDC_Maxim_AGL",10.4922,9.9473,9.5574,9.8238,34.8791287697463,36.055573276112,35.8606457422659,35.8582577145736
"CDC_QG.1_AGL",11.1376,10.75,11.0072,10.7299,35.8994855661995,36.5559220593736,35.5784832793541,36.69721946715
"CDC_Red_Rider_AGL",11.0849,10.925,10.9149,10.2654,35.8215273648561,36.647423275223,35.4594008069808,36.3419443687227
"CDC_Redcoat_AGL",10.6959,10.4738,10.8134,9.7107,36.5309607568564,36.2595895532722,35.2343930739429,36.1191287399759
"CDC_Redwing_AGL",10.9513,10.7524,10.9837,10.9642,35.7914862325353,36.6550760209995,35.4688186209925,36.7688040966756
"CDC_Robin_AGL",11.093,10.2404,10.3421,10.4175,35.917809638523,36.3606666808695,35.7201819494286,36.2220576423587
"CDC_Rosebud_AGL",11.0025,10.8503,10.9737,10.8987,35.9196105893069,36.9261293637991,35.5546699584957,36.7562299123479
"CDC_Rosetown_AGL",10.4911,10.4431,10.3433,10.1132,35.8111798358798,36.1791096483631,35.6142356400598,36.3531792676307
"CDC_Rosie_AGL",10.5588,10.7497,11.1546,10.3404,36.0640619716578,36.3863765604268,35.6340565820747,36.1398284647808
"CDC_Rouleau_AGL",10.606,10.1733,9.6597,9.7398,35.777294270438,36.2245406637231,35.1145620903628,36.0015968181919
"CDC_Royale_AGL",10.7103,10.164,10.2732,10.1017,36.0064547578625,36.7350479247083,35.3487667914556,35.9604999448224
"CDC_Ruby_AGL",11.3321,10.9162,10.7431,9.9066,35.8115517464772,36.6641476480763,35.3170715671127,36.3709123751271
"CDC_SB.1_AGL",9.436,9.5254,10.3031,9.2189,35.6705426942676,36.390239802565,35.0489687477676,36.05555251363
"CDC_Sedley_AGL",10.744,10.0934,10.1893,10.2962,36.4161418683948,36.6753994237107,35.1874490627547,36.2962727948927
"CDC_Vantage_AGL",10.5023,10.1446,10.3761,10.138,36.2726136120302,36.8277178983595,35.5640633675855,36.5646933225613
"CN_105604_AGL",10.0693,9.741,10.1506,9.4372,35.3805340829234,35.8478206468138,35.0957382807908,36.1233918598732
"CN_105605_AGL",10.5277,9.6938,10.4757,10.0303,35.5395392016204,36.1421705883011,35.5852749649266,36.1458765022793
"CN_105715_AGL",11.0068,10.3505,11.5538,10.789,35.8009914000598,36.4816472694718,35.3422327721222,36.2770085337888
"CN_105732_AGL",11.1766,11.0007,10.9577,11.4038,35.1658931802092,36.0986414648553,35.0805806158318,35.8012249985088
"CN_105767_AGL",9.8567,10.586,10.4366,10.4913,35.6577733562449,36.3376733042019,35.3362609234436,35.9958004384836
"CN_105777_AGL",10.8246,10.065,10.8986,11.0109,34.7704583124542,36.6793607988193,34.8951729614119,35.5974615038941
"CN_105789_AGL",10.7454,10.4555,11.3108,10.4286,35.1334826464386,35.9777708957022,35.1578260261411,35.7995914934519
"CN_105791_AGL",11.0236,10.7956,10.9065,10.5995,34.9113250570053,35.7814980660173,34.8116820938398,35.9403768492366
"CN_105862_AGL",11.1556,11.2423,10.5095,10.7233,35.4633512097582,36.5735273545898,35.0118266315754,36.0841255152688
"CN_105863_AGL",11.138,11.0639,10.8156,10.6343,35.327664244458,36.5458809539539,34.4878605638923,35.9169818967847
"CN_105864_AGL",11.6567,10.5635,10.443,10.4703,35.3671671859972,36.2071211165647,35.3967602965152,36.1221701660813
"CN_105865_AGL",10.8956,10.9637,11.597,10.4998,35.3169599590288,36.8639252210753,34.419203760974,36.1329442372018
"CN_105866_AGL",11.2863,10.583,9.9742,10.7491,35.3723779346917,37.1170539237177,35.234811606695,35.6330450406251
"CN_105895_AGL",10.9206,11.0333,11.1382,10.9234,35.2705216649872,35.3750460892288,35.1087001062257,35.5811074918567
"CN_106265_AGL",10.5361,10.1917,10.5556,9.9853,35.6167115702507,35.9242157208319,35.0985229864801,35.5691788165811
"CN_108369_AGL",10.5925,10.4079,11.1441,9.9052,35.5518635989864,36.006268638128,34.9037368336982,36.0536517007298
"CN_108370_AGL",11.6173,10.7379,11.4385,10.1991,36.235780700742,36.8006004400485,35.6251888164595,36.5132497511868
"Crimson_AGL",10.8516,10.1717,10.6052,10.0221,35.5355581534713,36.3807718444866,35.1757260557494,36.0586315702366
"DPL_62_AGL",10.7655,10.5952,10.7642,9.9469,35.509779991424,36.3307181653591,35.0063253472437,35.828674754344
"Eston_AGL",10.5255,10.0892,10.5443,10.4997,35.3913713042572,36.0116360002142,34.7431406984675,35.942736450057
"Gudo_AGL",11.3994,10.9136,11.0318,10.7012,35.534289276808,36.1348766985405,35.2181380530069,36.1293894817871
"IG_1046_AGL",11.442,11.0311,10.871,10.4175,35.4526863729318,36.3720592841717,34.926570988874,36.2704853821327
"IG_1706_AGL",12.3539,11.2149,11.7965,11.1107,35.1589336687793,36.1516739841015,35.2987821299261,36.109693753189
"IG_1959_AGL",9.9057,10.2032,9.6396,10.383,35.5900232818832,36.2317965690017,34.995443868827,36.1647213717725
"IG_4258_AGL",9.7594,10.1881,9.5409,10.274,35.4362815759948,36.0695610305285,34.9678209112766,35.4794596237257
"IG_4781_AGL",11.7284,10.9525,10.6174,11.112,35.110765177823,36.4157160288998,35.398767074419,36.1094592355011
"IG_858_AGL",10.9289,10.8608,10.3245,10.699,35.4590346904079,36.0723253311368,35.1970790975475,35.5656463580034
"ILL_10657_AGL",10.5982,10.2924,11.3023,10.8361,35.4329234452,35.9850219740647,35.4409620419874,35.6954386288545
"ILL_10748_AGL",10.2066,10.2592,9.7991,10.3829,35.2435411357656,36.4298776698684,35.1541003131872,35.9465176583819
"ILL_11547_AGL",11.8072,10.7113,11.6264,11.1868,35.6497584541063,35.9827196409555,35.2846559818879,35.8271095681582
"ILL_11548_AGL",11.0214,10.6595,10.8455,11.1536,35.6112597417704,36.2561861192837,35.4266022081401,36.3540359511742
"ILL_11553_AGL",10.3354,10.2945,10.1496,10.7322,34.7556772134659,36.0598142102535,34.8114789802407,35.7392138318703
"ILL_11555_AGL",10.95,10.3677,10.7905,11.306,35.1347795813988,36.0621923859545,35.0830705205319,35.5492111005603
"ILL_11557_AGL",10.6385,10.4703,10.7269,10.8305,35.435798533737,36.3091914760807,34.8026253889255,36.0359610975987
"ILL_11558_AGL",10.3841,10.7284,10.3734,10.5574,34.4658083488501,35.8800964525914,34.4364661242294,35.5380664011876
"ILL_1220_AGL",11.3288,10.8382,10.2913,10.3632,36.016697240123,36.2533742310767,35.0221711003195,35.8102504561287
"ILL_1553_AGL",10.9348,10.8079,11.0624,10.9029,35.714682318051,36.5889494121271,35.5752223772985,36.159070859561
"ILL_1762_AGL",9.1862,9.4252,9.5806,9.5703,35.8253775115437,35.8776417565016,35.0840059177665,35.5767943971093
"ILL_1983_AGL",10.0798,10.011,10.1083,10.1334,35.1653642199274,35.8367639162341,34.6041929123076,35.3580326175705
"ILL_213_AGL",10.0904,9.8302,10.2609,10.583,35.3053141313627,35.752422240973,34.616669196903,35.3488962446599
"ILL_2194_AGL",9.7855,9.9082,9.2781,10.1199,34.6859636250208,35.7313638445421,34.5324142654032,35.4559214076
"ILL_2507_AGL",10.0228,10.0412,10.3522,10.3008,35.3635215332614,36.0921605981093,35.0020286718961,35.6831581645732
"ILL_2580_AGL",10.2142,10.6919,10.2205,11.2264,35.1693529227453,35.8204404896712,34.649991185365,35.2313524641611
