"Name","Alanine_Su16","Arginine_Su16","Aspartic.acid_Su16","Cysteine_Su16","Glutamic.acid_Su16","Glycine_Su16","Histidine_Su16","Isoleucine_Su16","Leucine_Su16","Lysine_Su16","Methionine_Su16","Phenylalanine_Su16","Proline_Su16","Protein_Su16","Serine_Su16","Threonine_Su16","Tryptophan_Su16","Tyrosine_Su16","Valine_Su16"
"X3156.11_AGL",1.1477,1.9968,3.3271,0.2561,4.6096,1.131,0.9558,1.2136,2.068,1.8994,0.2596,1.3875,1.1836,29.4261,1.3936,1.0264,0.2209,0.8341,1.3671
"CDC_Asterix_AGL",1.1124,1.9288,3.2584,0.2524,4.5297,1.1038,0.8404,1.204,2.0392,1.8933,0.2621,1.381,1.1562,28.6052,1.396,1.0147,0.2119,0.8157,1.3468
"CDC_Cherie_AGL",1.1381,1.9794,3.2271,0.2499,4.4992,1.1042,1.0364,1.1873,2.0288,1.8467,0.2478,1.3622,1.1737,29.4213,1.3708,0.9995,0.2221,0.8053,1.3387
"CDC_Glamis_AGL",1.2356,2.1651,3.4337,0.2618,4.8235,1.1787,1.0446,1.2901,2.1846,1.9854,0.252,1.4782,1.2506,31.0304,1.5009,1.0301,0.2345,0.8846,1.4595
"CDC_Gold_AGL",1.198,1.8806,3.2485,0.2676,4.4055,1.115,0.9548,1.1974,2.0194,1.8334,0.2546,1.365,1.1842,28.7928,1.3655,0.9685,0.2259,0.8298,1.3264
"CDC_Greenstar_AGL",1.0929,1.8555,3.1328,0.2577,4.3692,1.103,0.8511,1.1682,1.9782,1.8125,0.2526,1.3318,1.1494,27.9528,1.3366,1.0142,0.2158,0.8086,1.2937
"CDC_Imax_AGL",1.2082,2.1787,3.6375,0.2549,4.9833,1.2744,0.9959,1.293,2.2327,2.002,0.2382,1.4771,1.2344,31.0886,1.5096,1.1466,0.2527,0.887,1.4686
"CDC_Impower_AGL",1.1097,2.0094,3.35,0.2353,4.5948,1.2051,1.1538,1.1971,2.092,1.8485,0.219,1.3729,1.1932,29.8159,1.415,1.0602,0.2397,0.8324,1.3433
"CDC_KR.1_AGL",1.1295,1.9543,3.1915,0.2479,4.4427,1.1055,0.9835,1.1719,2.015,1.8252,0.2421,1.3531,1.1724,28.6007,1.3468,0.9998,0.2164,0.793,1.3168
"CDC_LeMay_AGL",1.1453,2.1404,3.3129,0.242,4.7058,1.1289,0.9974,1.2373,2.1031,1.9083,0.2515,1.4299,1.2108,29.9874,1.4308,0.9997,0.2176,0.8175,1.3972
"CDC_Maxim_AGL",0.9884,1.6885,3.0516,0.2052,4.2433,1.0929,0.8648,1.095,1.9143,1.7437,0.2196,1.2539,1.0905,26.6515,1.2646,1.0223,0.211,0.7448,1.2328
"CDC_QG.1_AGL",1.2009,2.1655,3.4812,0.2657,4.8588,1.1912,1.0133,1.2906,2.185,1.9994,0.2695,1.4737,1.2225,30.9378,1.4985,1.0924,0.2306,0.8953,1.4527
"CDC_Red_Rider_AGL",1.2373,2.1964,3.6253,0.2819,4.9095,1.1832,0.8917,1.2884,2.1926,2.0047,0.2733,1.4799,1.2358,30.7814,1.4888,1.098,0.2334,0.8844,1.4529
"CDC_Redcoat_AGL",1.1882,2.1445,3.432,0.2587,4.7911,1.1685,1.0839,1.2548,2.156,1.9553,0.2521,1.448,1.2273,30.6899,1.4551,1.0212,0.2268,0.8528,1.4153
"CDC_Redwing_AGL",1.1893,2.1851,3.5444,0.2664,4.9458,1.1828,0.9999,1.303,2.2007,1.9966,0.2616,1.486,1.2183,30.9672,1.521,1.0605,0.2278,0.8682,1.4476
"CDC_Robin_AGL",1.1452,1.9796,3.2457,0.2557,4.5604,1.1315,0.9691,1.1956,2.0577,1.8934,0.2603,1.3927,1.1683,28.9531,1.4061,0.997,0.219,0.8331,1.3573
"CDC_Rosebud_AGL",1.1681,2.1693,3.535,0.2746,4.8504,1.1716,1.0244,1.2908,2.1762,1.9896,0.2641,1.4816,1.222,30.8643,1.5025,1.0655,0.2295,0.8908,1.452
"CDC_Rosetown_AGL",1.1442,1.989,3.2418,0.2492,4.5437,1.1133,0.9485,1.2016,2.0623,1.8939,0.2473,1.4005,1.1842,29.0426,1.4024,1.0073,0.2159,0.8125,1.366
"CDC_Rosie_AGL",1.2384,2.2327,3.6038,0.2755,4.9961,1.2078,0.9454,1.3159,2.239,2.041,0.2686,1.5131,1.238,31.3032,1.5314,1.1097,0.2325,0.8897,1.4894
"CDC_Rouleau_AGL",1.094,1.7693,3.0428,0.2298,4.2938,1.0688,0.8584,1.1248,1.931,1.7754,0.2478,1.2878,1.147,27.5091,1.2945,0.959,0.211,0.7668,1.2645
"CDC_Royale_AGL",1.141,1.9603,3.22,0.2454,4.5113,1.1291,0.9887,1.1946,2.0405,1.8759,0.2513,1.3694,1.1749,29.0624,1.3885,0.9845,0.2191,0.8152,1.3492
"CDC_Ruby_AGL",1.1892,2.103,3.4368,0.2646,4.8155,1.1692,0.9401,1.2631,2.1553,1.9619,0.2637,1.4543,1.2092,30.419,1.4704,1.0518,0.2282,0.8505,1.4247
"CDC_SB.1_AGL",1.12,1.9905,3.2981,0.2463,4.4847,1.0973,1.1276,1.1837,2.0224,1.8452,0.2479,1.358,1.183,29.3963,1.3844,0.9616,0.2184,0.8126,1.3383
