"Name","Protein_lsm","Histidine_lsm","Serine_lsm","Arginine_lsm","Glycine_lsm","Aspartic.acid_lsm","Glutamic.acid_lsm","Threonine_lsm","Alanine_lsm","Proline_lsm","Cysteine_lsm","Lysine_lsm","Tyrosine_lsm","Methionine_lsm","Valine_lsm","Isoleucine_lsm","Leucine_lsm","Phenylalanine_lsm","Tryptophan_lsm"
"CDC_Asterix_AGL",28.4078,0.8673,1.3794,1.9837,1.0998,3.187,4.4487,1.0465,1.1225,1.1689,0.2536,1.8492,0.8141,0.2588,1.3628,1.2037,2.0229,1.3872,0.2169
"CDC_Rosie_AGL",29.6841,0.8168,1.4633,2.1783,1.1567,3.402,4.7181,1.1329,1.1795,1.2045,0.2784,1.9309,0.8636,0.261,1.4447,1.2624,2.1473,1.4761,0.2287
"X3156.11_AGL",28.2688,0.8717,1.3454,1.9821,1.1053,3.16,4.4062,1.0615,1.1345,1.1735,0.2555,1.8181,0.8279,0.2615,1.3435,1.1759,2.0085,1.3645,0.2195
"CDC_Greenstar_AGL",27.819,0.7752,1.3665,1.9562,1.1216,3.1171,4.3919,1.07,1.126,1.1697,0.2633,1.8307,0.8318,0.2594,1.35,1.1946,2.0104,1.3799,0.2213
"CDC_Cherie_AGL",28.6288,0.8509,1.3629,2.0234,1.1068,3.2221,4.4528,1.0743,1.1324,1.1741,0.2628,1.8259,0.8133,0.2541,1.3544,1.1892,2.0271,1.3792,0.2227
"CDC_Glamis_AGL",28.4423,0.8467,1.4078,2.0362,1.13,3.1645,4.471,1.0559,1.1524,1.1838,0.2673,1.8598,0.852,0.2534,1.3872,1.2224,2.0449,1.4131,0.2232
"CDC_Gold_AGL",28.922,0.8822,1.3857,2.0027,1.0975,3.2327,4.4073,1.038,1.2112,1.1924,0.2775,1.8341,0.8468,0.2515,1.3663,1.2265,2.0425,1.4091,0.2256
"CDC_Imax_AGL",29.9512,0.8243,1.4694,2.1903,1.2176,3.5027,4.8207,1.1631,1.2013,1.228,0.2732,1.9406,0.8816,0.254,1.4497,1.2699,2.17,1.4693,0.2426
"CDC_Impower_AGL",29.4727,0.9889,1.4329,2.1323,1.193,3.3477,4.5967,1.1149,1.1662,1.2107,0.2639,1.8579,0.8721,0.2476,1.3988,1.2345,2.0994,1.4202,0.2379
"CDC_KR.1_AGL",27.8444,0.8484,1.3337,1.9903,1.1007,3.1022,4.3191,1.0508,1.1308,1.1761,0.2615,1.7764,0.8022,0.2472,1.3214,1.1607,1.9873,1.3585,0.2193
"CDC_LeMay_AGL",29.0966,0.8596,1.4111,2.1167,1.1189,3.2096,4.5667,1.0589,1.1445,1.1928,0.2507,1.8696,0.8316,0.2557,1.4046,1.2258,2.073,1.425,0.2199
"CDC_Maxim_AGL",27.9295,0.8205,1.3328,1.9729,1.1182,3.1956,4.3732,1.0826,1.1054,1.1662,0.2487,1.772,0.7963,0.2358,1.3155,1.1623,1.9931,1.3487,0.2247
"CDC_QG.1_AGL",30.152,0.9562,1.4737,2.2062,1.1775,3.3816,4.7575,1.1379,1.1869,1.2152,0.2667,1.9524,0.8956,0.2685,1.4543,1.2766,2.1541,1.476,0.2301
"CDC_Red_Rider_AGL",29.946,0.826,1.4606,2.2334,1.1807,3.5201,4.8099,1.1483,1.2357,1.2387,0.2813,1.9563,0.8894,0.2737,1.4485,1.2673,2.1625,1.4797,0.2351
"CDC_Redcoat_AGL",28.9349,0.8587,1.4123,2.0973,1.1369,3.3035,4.5636,1.0684,1.1992,1.2003,0.2712,1.8854,0.8392,0.2495,1.3964,1.2278,2.0828,1.4279,0.2267
"CDC_Redwing_AGL",30.1795,0.8832,1.5043,2.2291,1.1662,3.4714,4.8546,1.1214,1.1964,1.2182,0.2701,1.9783,0.8793,0.2628,1.4617,1.301,2.1785,1.5002,0.226
"CDC_Robin_AGL",29.1903,0.8672,1.4258,2.1411,1.1377,3.3552,4.6299,1.1019,1.1666,1.1892,0.269,1.9036,0.8538,0.2623,1.403,1.2236,2.0988,1.4384,0.2242
"CDC_Rosebud_AGL",30.1326,0.9138,1.4813,2.2046,1.1755,3.481,4.788,1.1522,1.1918,1.2183,0.2769,1.9746,0.8957,0.2747,1.4554,1.279,2.1622,1.4883,0.2312
"CDC_Rosetown_AGL",28.7556,0.8353,1.4037,2.062,1.1223,3.2378,4.5252,1.0769,1.1623,1.1801,0.2595,1.8772,0.8334,0.2547,1.3887,1.2104,2.0652,1.4179,0.2215
"CDC_Rouleau_AGL",28.0729,0.8618,1.3335,1.9469,1.0984,3.112,4.3923,1.0553,1.1392,1.1751,0.2411,1.8064,0.8084,0.2544,1.3294,1.165,2,1.3541,0.2184
"CDC_Royale_AGL",28.6419,0.9045,1.3849,2.0338,1.13,3.1778,4.4521,1.057,1.1623,1.1843,0.2601,1.8495,0.8227,0.2515,1.376,1.2108,2.0416,1.3998,0.2214
"CDC_Ruby_AGL",29.7685,0.8047,1.4624,2.1676,1.1726,3.4535,4.768,1.1527,1.2011,1.2063,0.2782,1.9376,0.8672,0.2709,1.4422,1.2649,2.1494,1.4693,0.2327
"CDC_SB.1_AGL",26.8985,0.8711,1.2921,1.8695,1.0294,3.0439,4.1679,0.9913,1.0606,1.1242,0.2505,1.7292,0.7822,0.2462,1.2605,1.118,1.9001,1.2992,0.2052
"CDC_Sedley_AGL",28.5872,0.9147,1.3952,2.0735,1.124,3.2232,4.4795,1.0422,1.163,1.1983,0.2668,1.8451,0.8437,0.2527,1.3772,1.2208,2.0458,1.4102,0.2222
"CDC_Vantage_AGL",28.3505,0.8234,1.3782,1.9916,1.1376,3.2245,4.4528,1.1286,1.1707,1.1837,0.2697,1.8688,0.8582,0.2731,1.3557,1.1972,2.0296,1.3906,0.2234
