"Entry","Name","Trait"
13,"CDC QG-1 AGL","Protein"
29,"CN 105732 AGL","Protein"
35,"CN 105863 AGL","Protein"
37,"CN 105865 AGL","Protein"
73,"ILL 358 AGL","Protein"
80,"ILL 4671 AGL","Protein"
86,"ILL 4956 AGL","Protein"
88,"ILL 5151 AGL","Protein"
90,"ILL 5480 AGL","Protein"
126,"Indianhead AGL","Protein"
132,"PI 175754 LSP AGL","Protein"
153,"PI 238758 LSP AGL","Protein"
161,"PI 289066 AGL","Protein"
166,"PI 297287 AGL","Protein"
181,"PI 298923 LSP AGL","Protein"
186,"PI 299163 LSP AGL","Protein"
191,"PI 299289 AGL","Protein"
192,"PI 299312 AGL","Protein"
193,"PI 299345 AGL","Protein"
209,"PI 320952 LSP AGL","Protein"
221,"PI 345627 LSP AGL","Protein"
232,"PI 383682 LSP AGL","Protein"
245,"PI 431633 LSP AGL","Protein"
276,"PI 432106 LSP AGL","Protein"
292,"PI 468901 AGL","Protein"
293,"PI 468902 LSP AGL","Protein"
304,"PI 472588 LSP AGL","Protein"
312,"PI 518733 LSP AGL","Protein"
13,"CDC QG-1 AGL","Glutamate"
14,"CDC Red Rider AGL","Glutamate"
16,"CDC Redwing AGL","Glutamate"
29,"CN 105732 AGL","Glutamate"
73,"ILL 358 AGL","Glutamate"
86,"ILL 4956 AGL","Glutamate"
88,"ILL 5151 AGL","Glutamate"
90,"ILL 5480 AGL","Glutamate"
126,"Indianhead AGL","Glutamate"
132,"PI 175754 LSP AGL","Glutamate"
160,"PI 283604 LSP AGL","Glutamate"
165,"PI 297285 LSP AGL","Glutamate"
166,"PI 297287 AGL","Glutamate"
181,"PI 298923 LSP AGL","Glutamate"
186,"PI 299163 LSP AGL","Glutamate"
192,"PI 299312 AGL","Glutamate"
193,"PI 299345 AGL","Glutamate"
209,"PI 320952 LSP AGL","Glutamate"
221,"PI 345627 LSP AGL","Glutamate"
232,"PI 383682 LSP AGL","Glutamate"
236,"PI 420929 LSP AGL","Glutamate"
245,"PI 431633 LSP AGL","Glutamate"
292,"PI 468901 AGL","Glutamate"
304,"PI 472588 LSP AGL","Glutamate"
312,"PI 518733 LSP AGL","Glutamate"
14,"CDC Red Rider AGL","Aspartate"
16,"CDC Redwing AGL","Aspartate"
18,"CDC Rosebud AGL","Aspartate"
29,"CN 105732 AGL","Aspartate"
73,"ILL 358 AGL","Aspartate"
86,"ILL 4956 AGL","Aspartate"
88,"ILL 5151 AGL","Aspartate"
90,"ILL 5480 AGL","Aspartate"
97,"ILL 618 AGL","Aspartate"
98,"ILL 6182 AGL","Aspartate"
