"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17","TFT_0_Su16","TFT_Tb_Su16","TFT_0_Su17","TFT_Tb_Su17","TFT_0_Ro16","TFT_Tb_Ro16","TFT_0_Ro17","TFT_Tb_Ro17","TRT_0_Su16","TRT_Tb_Su16","TRT_0_Su17","TRT_Tb_Su17","TRT_0_Ro16","TRT_Tb_Ro16","TRT_0_Ro17","TRT_Tb_Ro17","PC1","PC2","PC3","PC4"
"CDC_Asterix_AGL",47,48.7,53.7,54.7,49,31,45.7,35,675.8,2348.6,684.6,2490.6,727.6,2431.6,697.4,2457.4,860.7,2737.5,686.6,2156.6,1010,3140,634.5,2042.5,-5.5636,-2.0598,-0.5921,1.282
"CDC_Rosie_AGL",52.3,51,57.3,59,45,NA,44,NA,741.7,2229.5,758.3,2450.3,819.2,2407.6,749.5,2303.5,821.3,2343.7,0,0,899.7,2524.2,0,0,3.5468,-1.6765,-1.8784,-3.0456
"X3156.11_AGL",54.3,52.7,59,60.7,46,NA,45.7,NA,790,2289.3,775.1,2326.1,865.1,2392.3,770.1,2232.1,854.3,2321.7,0,0,909.8,2437,0,0,-5.9956,-3.3144,-1.6625,0.0611
"CDC_Greenstar_AGL",50.7,50.7,56,56.7,48,NA,48.3,NA,741.3,1942.8,699.2,1860.2,781.7,1953.5,741.8,1959.8,916.7,2225,0,0,953.2,2292.4,0,0,-5.6306,-2.5236,0.3302,-0.4663
"CDC_Cherie_AGL",49,47.7,51,54.3,49,33.5,51.3,34.5,629.5,1839.4,675.3,2103.3,774.3,2210.7,663.6,1993.6,970.4,2670.8,669,1825,994.9,2704.9,670,1860,-4.858,-1.2055,-0.0342,-1.1098
"CDC_Glamis_AGL",52,50,56,59,44.7,NA,47,32,741.3,2149.8,778.6,2346.6,830.9,2302.4,741.8,2169.8,898.3,2400.7,676.6,1764.6,905.8,2377.3,0,0,-2.7355,-5.5002,-2.0669,-1.1978
"CDC_Gold_AGL",49.5,51,54,54,48.5,NA,48,NA,672.2,1789.4,675.3,1935.3,762.6,2025.4,749.5,2093.5,916.7,2357.3,0,0,972.3,2481.5,0,0,NA,NA,NA,NA
"CDC_Imax_AGL",46.7,46.3,53,53,51.7,NA,44.3,38,669.8,2869.8,655.4,2992.4,692.9,2870.3,642.9,2825.9,843.3,3318.3,743.2,2909.2,1042,4021.6,0,0,5.8921,0.2815,-2.4698,-0.6693
"CDC_Impower_AGL",48.3,48.7,54.3,57,52.3,33,47.7,NA,703.4,2131,720.3,2250.3,751.7,2174.4,697.4,2137.4,899.6,2493.2,0,0,1034.9,2839.3,667.7,1891.7,1.3926,2.2363,1.9226,-0.9224
"CDC_KR.1_AGL",50.3,49.7,55.7,57,47.7,NA,48.7,30,711,1343.1,713.8,1373.8,793.4,1459.9,705.4,1345.4,916.7,1637,594.7,1044.7,953.2,1697.2,0,0,-8.0257,-2.5827,-2.0692,2.2289
