"Name","Alanine_Ro16","Alanine_Ro17","Alanine_Su16","Alanine_Su17","Arginine_Ro16","Arginine_Ro17","Arginine_Su16","Arginine_Su17","Aspartic.acid_Ro16","Aspartic.acid_Ro17","Aspartic.acid_Su16","Aspartic.acid_Su17","Cysteine_Ro16","Cysteine_Ro17","Cysteine_Su16","Cysteine_Su17","Glutamic.acid_Ro16","Glutamic.acid_Ro17","Glutamic.acid_Su16","Glutamic.acid_Su17","Glycine_Ro16","Glycine_Ro17","Glycine_Su16","Glycine_Su17","Histidine_Ro16","Histidine_Ro17","Histidine_Su16","Histidine_Su17","Isoleucine_Ro16","Isoleucine_Ro17","Isoleucine_Su16","Isoleucine_Su17","Leucine_Ro16","Leucine_Ro17","Leucine_Su16","Leucine_Su17","Lysine_Ro16","Lysine_Ro17","Lysine_Su16","Lysine_Su17","Methionine_Ro16","Methionine_Ro17","Methionine_Su16","Methionine_Su17","Phenylalanine_Ro16","Phenylalanine_Ro17","Phenylalanine_Su16","Phenylalanine_Su17","Proline_Ro16","Proline_Ro17","Proline_Su16","Proline_Su17","Protein_Ro16","Protein_Ro17","Protein_Su16","Protein_Su17","Serine_Ro16","Serine_Ro17","Serine_Su16","Serine_Su17","Threonine_Ro16","Threonine_Ro17","Threonine_Su16","Threonine_Su17","Tryptophan_Ro16","Tryptophan_Ro17","Tryptophan_Su16","Tryptophan_Su17","Tyrosine_Ro16","Tyrosine_Ro17","Tyrosine_Su16","Tyrosine_Su17","Valine_Ro16","Valine_Ro17","Valine_Su16","Valine_Su17"
"X3156.11_AGL",1.170521,1.119545,1.147713,1.100438,1.960124,2.008237,1.996774,1.963411,3.310755,3.034451,3.327064,2.967452,0.2445685,0.2620239,0.2561481,0.2591099,4.628204,4.234198,4.609587,4.152975,1.153866,1.074854,1.131029,1.061485,0.8896175,0.7939361,0.9557583,0.8476465,1.212467,1.146605,1.213634,1.130742,2.11258,1.936188,2.067974,1.917156,1.931364,1.738594,1.899425,1.703023,0.277661,0.2582,0.2595756,0.2506913,1.408849,1.340307,1.387495,1.321423,1.210446,1.149248,1.183646,1.150565,29.14351,27.26475,29.42614,27.24093,1.399733,1.307999,1.393642,1.280211,1.043926,1.1027,1.026432,1.072932,0.2218391,0.2177394,0.2209152,0.2175069,0.8259578,0.8415967,0.8340887,0.8099629,1.386194,1.318432,1.367091,1.302378
"CDC_Asterix_AGL",1.215247,1.078733,1.11237,1.08351,2.04548,1.957027,1.928847,2.003498,3.390554,3.03454,3.258381,3.064467,0.2526125,0.2508271,0.2523594,0.2587036,4.684016,4.27177,4.529692,4.309143,1.156099,1.062906,1.103829,1.076253,0.9098247,0.8390037,0.8403684,0.879967,1.241029,1.174901,1.204048,1.195043,2.125511,1.94884,2.03918,1.978162,1.946427,1.782495,1.893282,1.774548,0.2793403,0.2509427,0.2621036,0.2429536,1.431546,1.354691,1.380997,1.381357,1.237334,1.136566,1.1562,1.145267,29.89966,27.41141,28.6052,27.71493,1.43167,1.328827,1.396036,1.360961,1.051039,1.071529,1.014732,1.048735,0.2230552,0.2159134,0.2119168,0.2167616,0.831789,0.8061984,0.8157467,0.8026129,1.400189,1.340878,1.346796,1.363111
"CDC_Cherie_AGL",1.170239,1.118747,1.138144,1.1027,1.991178,2.078815,1.979395,2.044433,3.340863,3.177977,3.227132,3.1425,0.253344,0.2752726,0.2498944,0.2727979,4.613619,4.380801,4.499217,4.317713,1.132847,1.106435,1.10418,1.083734,0.8607842,0.7882895,1.036356,0.7180535,1.216031,1.183634,1.187333,1.169837,2.09948,1.995552,2.028755,1.984551,1.911059,1.773819,1.846657,1.772161,0.2688468,0.2519345,0.2477991,0.2480102,1.405309,1.38075,1.362227,1.368479,1.219457,1.154914,1.173681,1.148279,29.36302,27.98715,29.4213,27.74391,1.402175,1.340609,1.370835,1.338212,1.012522,1.168279,0.9995091,1.116879,0.2197617,0.2261984,0.222132,0.2227864,0.8140497,0.8265123,0.8053046,0.8073043,1.377561,1.354164,1.338733,1.347317
"CDC_Glamis_AGL",1.1706,1.141392,1.235555,1.061981,1.976436,2.101909,2.165099,1.901379,3.268544,3.119051,3.43375,2.836486,0.2643611,0.2790607,0.2618003,0.2639011,4.578091,4.423353,4.823459,4.058959,1.157989,1.128836,1.178717,1.054616,0.8337709,0.7609958,1.044625,0.7474457,1.227602,1.228007,1.290138,1.14378,2.087168,2.025785,2.184559,1.881787,1.92156,1.822967,1.985421,1.709188,0.2743606,0.2517747,0.252047,0.2354257,1.420139,1.426195,1.478183,1.32766,1.189836,1.170982,1.2506,1.123697,28.8665,27.71144,31.03044,26.1607,1.424919,1.40537,1.500866,1.300156,1.04585,1.121041,1.030143,1.026477,0.2196059,0.2258972,0.2344545,0.21259,0.8520275,0.8659954,0.884582,0.8053643,1.384372,1.402712,1.459453,1.302025
"CDC_Gold_AGL",1.262082,NA,1.198042,NA,2.037786,NA,1.880619,NA,3.385948,NA,3.248466,NA,0.2750916,NA,0.2676345,NA,4.599499,NA,4.405537,NA,1.115467,NA,1.115022,NA,0.9324229,NA,0.9547773,NA,1.271896,NA,1.197433,NA,2.135784,NA,2.019352,NA,1.924885,NA,1.833369,NA,0.2569128,NA,0.2545524,NA,1.455416,NA,1.364998,NA,1.237579,NA,1.184173,NA,30.32647,NA,28.7928,NA,1.449341,NA,1.365538,NA,0.9944572,NA,0.9685392,NA,0.2275565,NA,0.2259254,NA,0.8511596,NA,0.8298248,NA,1.408683,NA,1.3264,NA
"CDC_Greenstar_AGL",1.190861,1.112187,1.092922,1.108186,2.02918,1.971387,1.855518,1.968794,3.34755,2.962605,3.132818,3.025335,0.2590613,0.272399,0.2577307,0.2641262,4.737802,4.190592,4.369177,4.26989,1.190828,1.096228,1.103041,1.096358,0.8192866,0.7142224,0.8511178,0.7159963,1.254237,1.174313,1.168186,1.181653,2.155196,1.942528,1.978195,1.965544,1.966957,1.761064,1.812547,1.782441,0.2815545,0.2491131,0.2525682,0.2543712,1.454041,1.365038,1.331808,1.368749,1.225172,1.140281,1.149407,1.163797,29.47124,26.67634,27.95282,27.17546,1.448074,1.340322,1.336644,1.341229,1.079231,1.131446,1.014219,1.0551,0.2256638,0.2233934,0.2158112,0.2200813,0.8664122,0.8319325,0.8086462,0.8203995,1.414728,1.34138,1.293722,1.350149
"CDC_Imax_AGL",1.210722,1.168204,1.208175,1.218119,2.0915,2.2088,2.17874,2.282349,3.612778,3.320698,3.637485,3.439749,0.2551448,0.2939512,0.2548514,0.2889445,4.910028,4.625206,4.983331,4.764497,1.284948,1.138475,1.27435,1.172449,0.9406564,0.6363658,0.995947,0.7241914,1.273311,1.244079,1.293048,1.269338,2.197361,2.095724,2.232656,2.154222,1.987434,1.846005,2.002034,1.927171,0.2463443,0.2619229,0.2382034,0.2693835,1.449663,1.461794,1.477062,1.488467,1.211873,1.222689,1.234449,1.243204,30.40954,28.51782,31.08858,29.78868,1.488736,1.418274,1.509583,1.461161,1.150431,1.162923,1.146621,1.192587,0.2518519,0.2309244,0.2526817,0.2349474,0.8829025,0.8652385,0.8870061,0.8911862,1.450787,1.41761,1.468626,1.461992
"CDC_Impower_AGL",1.189327,1.155053,1.109734,1.210943,2.060246,2.244577,2.00939,2.214934,3.457822,3.333898,3.349966,3.249151,0.247754,0.2937534,0.2352966,0.2788281,4.662744,4.597022,4.594823,4.532069,1.224908,1.172809,1.205079,1.169288,1.037178,0.8506728,1.153761,0.9137324,1.225827,1.255376,1.197128,1.259589,2.124066,2.094856,2.092024,2.086713,1.874982,1.855761,1.848543,1.852306,0.2381312,0.2715851,0.2190067,0.2616288,1.403575,1.451831,1.372882,1.452363,1.227475,1.200615,1.193215,1.221252,29.94299,29.13566,29.81586,28.99632,1.422171,1.451964,1.41498,1.442542,1.103987,1.184126,1.06024,1.111386,0.2442622,0.2357689,0.2396782,0.2318555,0.8467467,0.9154301,0.8323579,0.8938254,1.37165,1.435635,1.343291,1.444767
"CDC_KR.1_AGL",1.236251,1.063728,1.129523,1.093677,2.030083,1.933787,1.954285,2.043114,3.372861,2.855236,3.191493,2.989332,0.2571591,0.2649822,0.2479179,0.275684,4.635821,4.027238,4.442738,4.170723,1.174684,1.036947,1.105491,1.085713,0.9423773,0.6725943,0.9834907,0.7951735,1.224931,1.105321,1.171927,1.140896,2.120441,1.871674,2.014989,1.942324,1.929361,1.660558,1.825247,1.690634,0.279059,0.2274209,0.2421359,0.2400552,1.42106,1.306621,1.353063,1.353113,1.241461,1.124142,1.172366,1.166194,29.73848,25.91811,28.60073,27.12016,1.418517,1.261478,1.34681,1.308001,1.048009,1.072891,0.999838,1.082703,0.2269196,0.2134342,0.2163507,0.2205278,0.8307694,0.7754538,0.7930027,0.8095384,1.387222,1.268431,1.316815,1.31321
"CDC_LeMay_AGL",1.169337,1.148326,1.145251,1.115184,2.083176,2.118462,2.140411,2.124872,3.333882,3.163877,3.312877,3.027848,0.241646,0.2561014,0.2420491,0.2631205,4.689579,4.509302,4.705755,4.362022,1.149694,1.106828,1.12893,1.09025,0.8839577,0.7425151,0.9973734,0.8144823,1.229271,1.227203,1.237335,1.209644,2.128716,2.049267,2.103072,2.011091,1.942791,1.85198,1.908339,1.775549,0.2794518,0.2537618,0.251496,0.2377785,1.435625,1.42574,1.4299,1.408732,1.215242,1.176567,1.210806,1.168743,29.80044,28.37162,29.98742,28.2269,1.440354,1.393478,1.430828,1.379566,1.029798,1.107773,0.9996691,1.098095,0.2222615,0.2221911,0.2175949,0.2174033,0.8409931,0.8361621,0.8175436,0.8316441,1.414266,1.417177,1.397241,1.389764
