"Name","Alanine_Su17","Arginine_Su17","Aspartic.acid_Su17","Cysteine_Su17","Glutamic.acid_Su17","Glycine_Su17","Histidine_Su17","Isoleucine_Su17","Leucine_Su17","Lysine_Su17","Methionine_Su17","Phenylalanine_Su17","Proline_Su17","Protein_Su17","Serine_Su17","Threonine_Su17","Tryptophan_Su17","Tyrosine_Su17","Valine_Su17"
"X3156.11_AGL",1.1004,1.9634,2.9675,0.2591,4.153,1.0615,0.8476,1.1307,1.9172,1.703,0.2507,1.3214,1.1506,27.2409,1.2802,1.0729,0.2175,0.81,1.3024
"CDC_Asterix_AGL",1.0835,2.0035,3.0645,0.2587,4.3091,1.0763,0.88,1.195,1.9782,1.7745,0.243,1.3814,1.1453,27.7149,1.361,1.0487,0.2168,0.8026,1.3631
"CDC_Cherie_AGL",1.1027,2.0444,3.1425,0.2728,4.3177,1.0837,0.7181,1.1698,1.9846,1.7722,0.248,1.3685,1.1483,27.7439,1.3382,1.1169,0.2228,0.8073,1.3473
"CDC_Glamis_AGL",1.062,1.9014,2.8365,0.2639,4.059,1.0546,0.7474,1.1438,1.8818,1.7092,0.2354,1.3277,1.1237,26.1607,1.3002,1.0265,0.2126,0.8054,1.302
"CDC_Greenstar_AGL",1.1082,1.9688,3.0253,0.2641,4.2699,1.0964,0.716,1.1817,1.9655,1.7824,0.2544,1.3687,1.1638,27.1755,1.3412,1.0551,0.2201,0.8204,1.3501
"CDC_Imax_AGL",1.2181,2.2823,3.4397,0.2889,4.7645,1.1724,0.7242,1.2693,2.1542,1.9272,0.2694,1.4885,1.2432,29.7887,1.4612,1.1926,0.2349,0.8912,1.462
"CDC_Impower_AGL",1.2109,2.2149,3.2492,0.2788,4.5321,1.1693,0.9137,1.2596,2.0867,1.8523,0.2616,1.4524,1.2213,28.9963,1.4425,1.1114,0.2319,0.8938,1.4448
"CDC_KR.1_AGL",1.0937,2.0431,2.9893,0.2757,4.1707,1.0857,0.7952,1.1409,1.9423,1.6906,0.2401,1.3531,1.1662,27.1202,1.308,1.0827,0.2205,0.8095,1.3132
"CDC_LeMay_AGL",1.1152,2.1249,3.0278,0.2631,4.362,1.0902,0.8145,1.2096,2.0111,1.7755,0.2378,1.4087,1.1687,28.2269,1.3796,1.0981,0.2174,0.8316,1.3898
"CDC_Maxim_AGL",1.0974,2.0702,3.1006,0.2708,4.262,1.088,0.7039,1.1483,1.9616,1.7142,0.2508,1.3603,1.1663,27.3962,1.311,1.1424,0.2226,0.8158,1.3197
"CDC_QG.1_AGL",1.1768,2.2381,3.2564,0.2697,4.6123,1.1525,0.903,1.2593,2.0991,1.8871,0.2617,1.4668,1.1994,29.239,1.4423,1.1783,0.2285,0.8984,1.4461
"CDC_Red_Rider_AGL",1.173,2.1669,3.3101,0.2834,4.5406,1.1216,0.695,1.2089,2.0544,1.8384,0.2657,1.4248,1.1919,28.2467,1.3731,1.1617,0.2271,0.8633,1.3894
"CDC_Redcoat_AGL",1.0992,1.9887,2.9641,0.2588,4.1892,1.0438,0.7792,1.1322,1.9201,1.7376,0.2348,1.3376,1.131,26.8852,1.2972,1.0493,0.2134,0.8022,1.3065
"CDC_Redwing_AGL",1.1773,2.3194,3.4374,0.2738,4.8221,1.1575,0.8552,1.3076,2.1715,1.9502,0.2586,1.5203,1.2128,29.8193,1.4958,1.19,0.2283,0.8986,1.4825
"CDC_Robin_AGL",1.1644,2.2058,3.3136,0.2689,4.5741,1.1029,0.7983,1.227,2.0783,1.8755,0.2469,1.4463,1.1807,28.7601,1.4087,1.1058,0.2223,0.8389,1.4171
"CDC_Rosebud_AGL",1.2034,2.2579,3.4173,0.2756,4.7186,1.1657,0.8842,1.2727,2.1359,1.9429,0.2723,1.4906,1.2158,29.6513,1.4534,1.211,0.232,0.9009,1.4571
"CDC_Rosetown_AGL",1.1353,2.0778,3.1478,0.2652,4.4024,1.0853,0.7148,1.1978,2.0197,1.8327,0.2415,1.4092,1.1504,27.8193,1.3821,1.0964,0.2181,0.8244,1.383
"CDC_Rosie_AGL",1.1229,2.1736,3.2303,0.2843,4.4933,1.1156,0.7497,1.2248,2.0713,1.8162,0.2446,1.448,1.1822,28.6122,1.4101,1.1533,0.2266,0.8397,1.4059
"CDC_Rouleau_AGL",1.1107,1.9363,2.9225,0.2432,4.1828,1.0594,0.8128,1.1255,1.919,1.7337,0.2387,1.3223,1.1414,27.0538,1.2888,1.0781,0.2146,0.7954,1.2951
"CDC_Royale_AGL",1.0998,2.0895,2.9939,0.268,4.2942,1.1029,0.8707,1.1895,1.986,1.7598,0.2357,1.3892,1.1618,28.0911,1.3644,1.0846,0.2207,0.8309,1.3655
"CDC_Ruby_AGL",1.1001,2.0129,3.0958,0.2749,4.3266,1.0772,0.6526,1.1739,1.9776,1.767,0.2471,1.3776,1.1244,27.2377,1.3453,1.1422,0.2215,0.8136,1.3471
"CDC_SB.1_AGL",1.0134,1.8394,2.8336,0.2534,3.9087,0.9781,0.815,1.0686,1.7989,1.6307,0.2307,1.2558,1.0747,25.5686,1.2318,1.0084,0.2002,0.7632,1.2106
"CDC_Sedley_AGL",1.1327,2.1526,3.1521,0.2676,4.4242,1.1164,0.9382,1.2025,2.0184,1.8022,0.2519,1.4064,1.1935,28.3671,1.3757,1.0794,0.2252,0.8646,1.372
"CDC_Vantage_AGL",1.1554,2.0347,3.1195,0.2676,4.3327,1.1067,0.7764,1.1754,1.9749,1.8125,0.271,1.3768,1.1699,27.7262,1.3296,1.1906,0.2215,0.8706,1.3389
